epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905161,0.697225,0.693118,1.05729,1.8986,2.4377,-1.5341,0.7963,5.208333333333334e-06
2,0.901649,0.693786,0.692876,1.048804,1.8858,2.4212,-1.4999,0.7963,1.0208333333333334e-05
3,0.891114,0.683378,0.692452,1.024904,1.8491,2.374,-1.4035,0.7963,1.5208333333333333e-05
4,0.868161,0.660713,0.691494,0.973528,1.7653,2.2686,-1.1946,0.7963,2.0208333333333334e-05
5,0.832261,0.625383,0.689595,0.908761,1.6436,2.1262,-0.9277,0.7963,2.5208333333333334e-05
6,0.78357,0.578492,0.683592,0.818639,1.4581,1.9329,-0.5933,0.8889,3.0208333333333334e-05
7,0.702972,0.503248,0.665746,0.672,1.1782,1.6143,-0.1113,0.8519,3.520833333333334e-05
8,0.58587,0.395559,0.63437,0.567461,0.9724,1.3473,0.2259,0.8333,4.020833333333334e-05
9,0.423802,0.250229,0.578577,0.478152,0.8085,1.1709,0.4154,0.8333,4.520833333333334e-05
10,0.332449,0.175568,0.522936,0.411244,0.6984,1.0781,0.5044,0.8148,5.020833333333333e-05
11,0.286122,0.148887,0.457448,0.425365,0.7434,1.111,0.4736,0.7593,5.520833333333334e-05
12,0.257922,0.133672,0.414168,0.418072,0.7317,1.1337,0.4519,0.7963,6.020833333333333e-05
13,0.240133,0.130143,0.366635,0.478528,0.8615,1.2242,0.3609,0.7407,6.520833333333334e-05
14,0.218016,0.121575,0.321469,0.361758,0.6615,1.0514,0.5286,0.8519,7.020833333333334e-05
15,0.204279,0.118215,0.286881,0.442068,0.9033,1.247,0.3369,0.8333,7.520833333333334e-05
16,0.234229,0.151492,0.275791,0.360852,0.6807,1.0991,0.4848,0.8519,8.020833333333334e-05
17,0.18311,0.109813,0.244321,0.362022,0.654,1.0991,0.4849,0.8519,8.520833333333334e-05
18,0.181858,0.119422,0.208121,0.334425,0.6669,1.0904,0.493,0.9074,9.020833333333334e-05
19,0.153291,0.100659,0.175439,0.388438,0.7203,1.1259,0.4594,0.8519,9.520833333333333e-05
20,0.143283,0.086542,0.189135,0.375133,0.6947,1.1243,0.4609,0.8889,0.0001
21,0.129494,0.08987,0.132078,0.317785,0.5911,1.0556,0.5248,0.8889,9.999238475781957e-05
22,0.153885,0.105674,0.160703,0.363289,0.7163,1.0987,0.4852,0.8889,9.99695413509548e-05
23,0.136863,0.094409,0.141512,0.378902,0.7481,1.1196,0.4654,0.8889,9.99314767377287e-05
24,0.150562,0.101964,0.161993,0.349778,0.6468,1.0997,0.4843,0.8704,9.987820251299122e-05
25,0.141603,0.095209,0.154647,0.346175,0.6459,1.0705,0.5113,0.8889,9.980973490458728e-05
26,0.131265,0.088553,0.142375,0.430028,0.7149,1.1392,0.4465,0.8148,9.972609476841367e-05
27,0.170472,0.106716,0.212519,0.429975,0.747,1.1438,0.4421,0.8704,9.962730758206611e-05
28,0.119278,0.086625,0.108843,0.375987,0.6977,1.1164,0.4685,0.8889,9.951340343707852e-05
29,0.129842,0.10115,0.09564,0.426876,0.7529,1.1682,0.418,0.8704,9.938441702975689e-05
30,0.120187,0.088221,0.106554,0.391678,0.6742,1.0598,0.5211,0.8704,9.924038765061042e-05
31,0.117338,0.096413,0.069751,0.389866,0.6892,1.092,0.4915,0.8333,9.908135917238321e-05
32,0.114408,0.077496,0.12304,0.346664,0.6572,1.051,0.529,0.8889,9.890738003669029e-05
33,0.091904,0.077102,0.049342,0.400262,0.7277,1.1141,0.4707,0.8704,9.871850323926177e-05
34,0.108774,0.089364,0.0647,0.398329,0.6592,1.0733,0.5087,0.8704,9.851478631379982e-05
35,0.109513,0.095875,0.045461,0.393718,0.7363,1.0981,0.4858,0.8889,9.829629131445342e-05
36,0.085723,0.069036,0.055622,0.388109,0.6775,1.0519,0.5282,0.8889,9.806308479691595e-05
37,0.118893,0.069491,0.164674,0.451443,0.733,1.1461,0.4399,0.8519,9.781523779815179e-05
38,0.108017,0.086192,0.072751,0.455301,0.7548,1.1717,0.4146,0.8519,9.755282581475769e-05
39,0.131498,0.106465,0.083445,0.32022,0.5799,0.9987,0.5746,0.9074,9.727592877996585e-05
40,0.085569,0.073127,0.041474,0.348962,0.6226,1.0239,0.5529,0.8889,9.698463103929542e-05
41,0.110091,0.089246,0.069484,0.355839,0.6408,1.0782,0.5042,0.9074,9.667902132486009e-05
42,0.080976,0.067313,0.045544,0.339032,0.6754,1.068,0.5136,0.9074,9.635919272833938e-05
43,0.067829,0.061961,0.019562,0.29683,0.5899,0.9794,0.591,0.9074,9.602524267262203e-05
44,0.089992,0.073564,0.054761,0.359133,0.6593,1.0546,0.5257,0.9074,9.567727288213005e-05
45,0.050202,0.045144,0.01686,0.343798,0.6327,1.0428,0.5363,0.9074,9.53153893518325e-05
46,0.067192,0.064858,0.007782,0.367283,0.648,1.0786,0.5039,0.8889,9.493970231495835e-05
47,0.062106,0.056612,0.018313,0.321328,0.5424,0.9559,0.6103,0.8889,9.45503262094184e-05
48,0.065513,0.060426,0.016958,0.359045,0.6534,1.0544,0.5259,0.9074,9.414737964294636e-05
49,0.056376,0.053368,0.010029,0.40958,0.6348,1.0314,0.5464,0.8704,9.373098535696979e-05
50,0.077241,0.06157,0.052236,0.350175,0.5693,0.9752,0.5945,0.8889,9.330127018922194e-05
51,0.066062,0.051559,0.048342,0.385972,0.6123,1.0058,0.5686,0.8704,9.285836503510562e-05
52,0.057684,0.048562,0.030406,0.37894,0.6208,1.04,0.5387,0.8889,9.24024048078213e-05
53,0.05082,0.045754,0.016885,0.354272,0.6194,0.9837,0.5873,0.8889,9.193352839727121e-05
54,0.072208,0.062274,0.033113,0.355471,0.5964,1.0163,0.5596,0.8704,9.145187862775209e-05
55,0.055686,0.045977,0.032364,0.319415,0.5696,0.947,0.6175,0.9074,9.09576022144496e-05
56,0.054176,0.047992,0.020613,0.311857,0.5273,0.9166,0.6417,0.9074,9.045084971874738e-05
57,0.069499,0.055968,0.045105,0.377756,0.6031,0.9785,0.5917,0.8704,8.993177550236464e-05
58,0.05325,0.045462,0.02596,0.408092,0.6707,1.0273,0.55,0.8333,8.940053768033609e-05
59,0.063268,0.052644,0.035415,0.363207,0.5762,0.9655,0.6025,0.8704,8.885729807284856e-05
60,0.080176,0.053683,0.088307,0.340601,0.5424,0.9278,0.6329,0.8704,8.83022221559489e-05
61,0.053331,0.051632,0.005664,0.372162,0.6207,0.9958,0.5772,0.8889,8.773547901113862e-05
62,0.043974,0.040111,0.012877,0.332262,0.5689,0.9412,0.6223,0.8889,8.715724127386972e-05
63,0.053067,0.048442,0.015415,0.354919,0.5772,0.9692,0.5994,0.9074,8.656768508095853e-05
64,0.039509,0.037538,0.006571,0.360814,0.5693,0.955,0.6111,0.8889,8.596699001693255e-05
65,0.056968,0.052072,0.016323,0.355695,0.6023,0.9365,0.626,0.8704,8.535533905932738e-05
66,0.051005,0.047701,0.011012,0.429625,0.6347,0.9973,0.5759,0.8704,8.473291852294987e-05
67,0.046192,0.037418,0.029246,0.368199,0.5994,0.9849,0.5863,0.8704,8.409991800312493e-05
68,0.052795,0.046889,0.019688,0.427724,0.6608,1.043,0.5361,0.8519,8.345653031794292e-05
69,0.054219,0.050195,0.013411,0.34945,0.5708,0.9485,0.6164,0.8704,8.280295144952536e-05
70,0.045936,0.039667,0.020898,0.311584,0.5381,0.8686,0.6782,0.8889,8.213938048432697e-05
71,0.031673,0.031018,0.002183,0.360473,0.5907,0.9386,0.6243,0.8889,8.146601955249188e-05
