epoch,train_loss,val_mae,val_rmse,val_r2
1,1.735858,0.7124,1.05,0.5298
2,0.524139,0.6394,0.9888,0.5831
3,0.424191,0.671,1.0253,0.5517
4,0.471523,0.6471,0.9675,0.6009
5,0.340992,0.6555,1.0412,0.5377
6,0.251686,0.6282,0.9714,0.5976
7,0.328299,0.7274,1.0861,0.497
8,0.346977,0.6726,1.0166,0.5593
9,0.256249,0.6983,1.0514,0.5286
10,0.221049,0.5865,0.9891,0.5828
11,0.233522,0.6837,1.0202,0.5561
12,0.281189,0.6174,0.9638,0.6039
13,0.207485,0.6213,0.9803,0.5902
14,0.210428,0.717,1.0411,0.5378
15,0.210606,0.6185,0.9353,0.6269
16,0.212286,0.6419,1.0012,0.5725
17,0.209459,0.6935,1.0601,0.5207
18,0.186038,0.6768,1.0132,0.5623
19,0.212623,0.6383,1.0341,0.544
20,0.195587,0.6216,1.038,0.5405
21,0.202743,0.6985,1.0049,0.5693
22,0.158662,0.681,1.0211,0.5554
23,0.1877,0.6041,0.9815,0.5892
24,0.158361,0.6483,0.9931,0.5794
25,0.175814,0.5848,0.9167,0.6417
26,0.159632,0.6323,1.0052,0.5691
27,0.134751,0.639,0.9989,0.5745
28,0.186462,0.5931,0.9519,0.6136
29,0.177728,0.6867,1.0159,0.5599
30,0.171717,0.6167,0.973,0.5962
31,0.183634,0.6277,0.9712,0.5978
32,0.141325,0.612,0.9377,0.625
33,0.108718,0.6268,0.9556,0.6106
34,0.109042,0.7049,1.0274,0.5499
35,0.11356,0.6471,0.9728,0.5964
36,0.125425,0.7004,1.016,0.5598
37,0.161947,0.5837,0.9392,0.6239
38,0.123844,0.6708,1.0089,0.5659
39,0.130634,0.6725,0.9697,0.599
40,0.105166,0.6085,0.9545,0.6115
41,0.087499,0.6425,0.9841,0.587
42,0.083135,0.6201,0.942,0.6216
43,0.093942,0.5644,0.9042,0.6514
44,0.083054,0.5307,0.8782,0.6711
45,0.086288,0.6059,0.9188,0.64
46,0.101983,0.6352,0.9564,0.6099
47,0.114995,0.5763,0.9159,0.6422
48,0.092441,0.5654,0.9063,0.6497
49,0.079904,0.6342,0.9395,0.6236
50,0.084389,0.5842,0.8948,0.6586
51,0.080763,0.5931,0.9076,0.6487
52,0.083406,0.5959,0.9148,0.6431
53,0.091725,0.5698,0.8991,0.6553
54,0.07434,0.5497,0.8783,0.671
55,0.091966,0.6478,0.967,0.6012
56,0.074422,0.6035,0.8927,0.6601
57,0.092383,0.5457,0.8757,0.673
58,0.064868,0.6411,0.9511,0.6143
59,0.074075,0.6045,0.8859,0.6653
