iter,A,B,base_mid,pred_bg_mean,pred_bg_std,error_to_target
0,Sr,Sm,mp-753534,2.1814563274383545,0.26325101549531377,0.1814563274383545
1,Na,Pb,mp-756464,1.9250736474990844,0.32511213758732377,0.07492635250091562
2,Ba,Cr,mp-555098,1.8419363856315614,0.808228815563362,0.15806361436843863
3,Ba,Cr,mp-755165,1.817748212814331,0.12567105437798476,0.18225178718566903
4,Ba,Cr,mp-555098,1.8419363737106322,0.8082288068865202,0.15806362628936776
