epoch,train_loss,val_mae,val_rmse,val_r2
1,1.4485,0.6919,1.0089,0.566
2,0.441652,0.6426,1.0523,0.5278
3,0.49689,0.86,1.1968,0.3892
4,0.404158,0.6711,1.0425,0.5366
5,0.447135,0.6907,1.0313,0.5464
6,0.372054,0.7243,1.066,0.5154
7,0.454831,0.6963,1.0407,0.5382
8,0.258513,0.6112,0.9592,0.6076
9,0.388045,0.6588,0.9693,0.5994
10,0.274546,0.6106,0.9894,0.5826
11,0.215461,0.6407,0.9907,0.5815
12,0.247317,0.6462,1.0081,0.5666
13,0.201431,0.6667,1.0614,0.5195
14,0.304794,0.7204,1.0892,0.4941
15,0.27064,0.6784,1.0211,0.5554
16,0.249743,0.7093,1.0629,0.5183
17,0.200439,0.6279,0.9545,0.6114
18,0.203398,0.6783,1.0405,0.5383
19,0.207776,0.6939,1.1034,0.4808
20,0.208616,0.6685,1.0134,0.562
21,0.157676,0.5699,0.9603,0.6068
22,0.136354,0.6249,0.9627,0.6047
23,0.191677,0.733,1.0956,0.4882
24,0.160746,0.6425,1.0228,0.5539
25,0.173142,0.5978,0.9423,0.6213
26,0.173694,0.5795,0.9178,0.6408
27,0.174926,0.6018,0.9312,0.6302
28,0.109162,0.6041,0.9326,0.6291
29,0.13073,0.6243,0.9592,0.6077
30,0.163629,0.6465,1.0084,0.5664
31,0.129149,0.6234,0.959,0.6078
32,0.167147,0.6351,0.9435,0.6204
33,0.140834,0.6321,0.952,0.6135
34,0.134369,0.5516,0.9158,0.6424
35,0.136827,0.655,0.9555,0.6107
36,0.125889,0.5851,0.8893,0.6627
37,0.124798,0.6363,0.9631,0.6044
38,0.08859,0.6183,0.9368,0.6257
39,0.105159,0.5956,0.9047,0.6509
40,0.10304,0.5621,0.8526,0.69
41,0.106989,0.6514,0.9618,0.6055
42,0.10525,0.6101,0.9237,0.6362
43,0.094434,0.531,0.8612,0.6837
44,0.091406,0.5808,0.8891,0.6629
45,0.105936,0.6132,0.9347,0.6275
46,0.105879,0.5568,0.8592,0.6852
47,0.083644,0.6108,0.9417,0.6218
48,0.104328,0.5944,0.919,0.6399
49,0.07544,0.5748,0.9022,0.6529
50,0.080489,0.5852,0.8759,0.6728
51,0.086561,0.6128,0.92,0.639
52,0.084357,0.633,0.9861,0.5854
53,0.108893,0.6209,0.937,0.6256
54,0.092626,0.6514,0.9506,0.6146
55,0.103654,0.6025,0.9153,0.6428
56,0.164366,0.6407,0.9997,0.5738
57,0.136588,0.5789,0.9837,0.5873
58,0.099593,0.6841,1.0426,0.5365
