epoch,train_loss,val_mae,val_rmse,val_r2
1,3.245777,1.2128,1.4739,0.0735
2,2.737375,1.1469,1.4246,0.1345
3,2.610894,1.1189,1.3783,0.1899
4,2.390961,1.1061,1.3132,0.2646
5,2.121244,1.0351,1.2971,0.2826
6,1.76171,0.9141,1.1024,0.4818
7,1.346565,0.8572,1.0588,0.5219
8,1.170329,0.8953,1.094,0.4896
9,1.224878,0.8201,1.0129,0.5625
10,0.977844,0.7669,0.9844,0.5867
11,0.865429,0.7648,0.9828,0.5881
12,0.810717,0.7372,0.9696,0.5991
13,0.747154,0.741,1.0255,0.5516
14,0.721381,0.8015,1.0327,0.5452
15,0.629691,0.6428,0.9081,0.6484
16,0.617783,0.6475,0.9041,0.6514
17,0.57775,0.712,0.9667,0.6015
18,0.558075,0.6722,0.9229,0.6367
19,0.512733,0.6725,0.9159,0.6423
20,0.486306,0.6541,0.898,0.6561
21,0.460653,0.6694,0.8933,0.6597
22,0.406119,0.6961,0.9254,0.6348
23,0.445376,0.6689,0.8959,0.6578
24,0.403608,0.6534,0.8977,0.6564
25,0.391231,0.6255,0.8696,0.6775
26,0.37491,0.6969,0.9558,0.6104
27,0.366244,0.6921,0.9512,0.6141
28,0.373079,0.6677,0.9362,0.6263
29,0.317766,0.6145,0.8722,0.6756
30,0.30919,0.6896,0.9516,0.6138
31,0.283981,0.6785,0.9483,0.6165
32,0.295464,0.6658,0.9216,0.6378
33,0.2756,0.7036,0.9425,0.6212
34,0.246958,0.7214,0.9865,0.585
35,0.258616,0.6535,0.8706,0.6768
36,0.236845,0.6417,0.8928,0.6601
37,0.229494,0.6824,0.9581,0.6086
38,0.236618,0.6803,0.9635,0.6041
39,0.229057,0.6722,0.9297,0.6314
