material_id,cif_path,error
mp-5348,data/processed/multimodal_v1/cifs/mp-5348.cif,robocrys_generation_failed
mp-5364,data/processed/multimodal_v1/cifs/mp-5364.cif,robocrys_generation_failed
mp-548824,data/processed/multimodal_v1/cifs/mp-548824.cif,robocrys_generation_failed
mp-552588,data/processed/multimodal_v1/cifs/mp-552588.cif,robocrys_generation_failed
mp-5899,data/processed/multimodal_v1/cifs/mp-5899.cif,robocrys_generation_failed
mp-674478,data/processed/multimodal_v1/cifs/mp-674478.cif,robocrys_generation_failed
mp-7027,data/processed/multimodal_v1/cifs/mp-7027.cif,robocrys_generation_failed
mp-753176,data/processed/multimodal_v1/cifs/mp-753176.cif,robocrys_generation_failed
mp-753948,data/processed/multimodal_v1/cifs/mp-753948.cif,robocrys_generation_failed
mp-754409,data/processed/multimodal_v1/cifs/mp-754409.cif,robocrys_generation_failed
mp-754435,data/processed/multimodal_v1/cifs/mp-754435.cif,robocrys_generation_failed
mp-754936,data/processed/multimodal_v1/cifs/mp-754936.cif,robocrys_generation_failed
mp-7560,data/processed/multimodal_v1/cifs/mp-7560.cif,robocrys_generation_failed
mp-756214,data/processed/multimodal_v1/cifs/mp-756214.cif,robocrys_generation_failed
mp-761288,data/processed/multimodal_v1/cifs/mp-761288.cif,robocrys_generation_failed
mp-770347,data/processed/multimodal_v1/cifs/mp-770347.cif,robocrys_generation_failed
mp-772548,data/processed/multimodal_v1/cifs/mp-772548.cif,robocrys_generation_failed
mp-778408,data/processed/multimodal_v1/cifs/mp-778408.cif,robocrys_generation_failed
mp-780275,data/processed/multimodal_v1/cifs/mp-780275.cif,robocrys_generation_failed
mp-8110,data/processed/multimodal_v1/cifs/mp-8110.cif,robocrys_generation_failed
mp-8180,data/processed/multimodal_v1/cifs/mp-8180.cif,robocrys_generation_failed
mp-8697,data/processed/multimodal_v1/cifs/mp-8697.cif,robocrys_generation_failed
mp-9716,data/processed/multimodal_v1/cifs/mp-9716.cif,robocrys_generation_failed
mp-9812,data/processed/multimodal_v1/cifs/mp-9812.cif,robocrys_generation_failed
mp-9890,data/processed/multimodal_v1/cifs/mp-9890.cif,robocrys_generation_failed
mp-998624,data/processed/multimodal_v1/cifs/mp-998624.cif,robocrys_generation_failed
