epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.31051,0.102578,0.693105,0.411005,0.5906,0.9717,0.5974,0.7963,5.208333333333334e-06
2,0.313436,0.105595,0.692805,0.432408,0.637,1.0226,0.554,0.7963,1.0208333333333334e-05
3,0.314538,0.106929,0.692029,0.435957,0.6493,1.0219,0.5546,0.7963,1.5208333333333333e-05
4,0.318309,0.111223,0.690285,0.434812,0.6408,1.05,0.5299,0.7963,2.0208333333333334e-05
5,0.307948,0.10209,0.686192,0.43914,0.6611,1.0662,0.5152,0.8148,2.5208333333333334e-05
6,0.297047,0.094085,0.676538,0.43422,0.6667,1.0593,0.5215,0.8519,3.0208333333333334e-05
7,0.301921,0.104964,0.656523,0.432279,0.6622,1.0776,0.5048,0.8333,3.520833333333334e-05
8,0.284223,0.096825,0.624661,0.421851,0.6694,1.0812,0.5015,0.8148,4.020833333333334e-05
9,0.281575,0.108507,0.57689,0.424329,0.7059,1.0789,0.5036,0.8704,4.520833333333334e-05
10,0.26041,0.103962,0.521494,0.421685,0.7205,1.1288,0.4567,0.8704,5.020833333333333e-05
11,0.245796,0.105133,0.468874,0.375719,0.6506,1.0792,0.5033,0.8519,5.520833333333334e-05
12,0.219413,0.098252,0.403871,0.446365,0.8002,1.212,0.3736,0.7778,6.020833333333333e-05
13,0.200441,0.09641,0.34677,0.351098,0.6482,1.0821,0.5007,0.8889,6.520833333333334e-05
14,0.187052,0.097203,0.299497,0.346203,0.6491,1.0845,0.4985,0.8704,7.020833333333334e-05
15,0.175002,0.090994,0.280025,0.397616,0.763,1.1339,0.4517,0.8704,7.520833333333334e-05
16,0.164094,0.092126,0.239894,0.386507,0.7309,1.1513,0.4348,0.8519,8.020833333333334e-05
17,0.173219,0.109917,0.211006,0.448874,0.8124,1.1861,0.4,0.8148,8.520833333333334e-05
18,0.160481,0.095734,0.215826,0.336946,0.6234,1.0965,0.4873,0.8704,9.020833333333334e-05
19,0.186429,0.115682,0.235825,0.36938,0.7212,1.1507,0.4353,0.8333,9.520833333333333e-05
20,0.178255,0.11035,0.226351,0.345962,0.6543,1.0859,0.4971,0.8704,0.0001
21,0.128981,0.084095,0.149619,0.367188,0.6851,1.0687,0.5129,0.8889,9.999238475781957e-05
22,0.137017,0.095232,0.139282,0.329379,0.5998,1.0339,0.5442,0.8519,9.99695413509548e-05
23,0.162705,0.104447,0.194195,0.35601,0.6456,1.0851,0.4979,0.8148,9.99314767377287e-05
24,0.120168,0.080163,0.133348,0.363668,0.6384,1.0893,0.494,0.8704,9.987820251299122e-05
25,0.132106,0.093918,0.127293,0.441086,0.7522,1.1753,0.4109,0.8333,9.980973490458728e-05
26,0.11759,0.086659,0.103105,0.410972,0.6898,1.1534,0.4327,0.8519,9.972609476841367e-05
27,0.128309,0.094538,0.11257,0.382178,0.6543,1.1335,0.4521,0.8519,9.962730758206611e-05
28,0.11498,0.081985,0.109982,0.361286,0.656,1.066,0.5154,0.8519,9.951340343707852e-05
29,0.116687,0.079893,0.122647,0.387349,0.6748,1.1063,0.4781,0.8704,9.938441702975689e-05
30,0.103204,0.076243,0.08987,0.349985,0.6004,1.0451,0.5342,0.8519,9.924038765061042e-05
31,0.100147,0.070042,0.100351,0.329392,0.6227,1.0155,0.5602,0.8889,9.908135917238321e-05
