epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.905155,0.697225,0.6931,1.057404,1.8987,2.438,-1.5346,0.7963,5.208333333333334e-06
2,0.901844,0.693995,0.692831,1.049666,1.8872,2.4231,-1.5038,0.7963,1.0208333333333334e-05
3,0.892477,0.684767,0.692367,1.027593,1.8535,2.3799,-1.4153,0.7963,1.5208333333333333e-05
4,0.870287,0.662887,0.691334,0.979463,1.7751,2.2814,-1.2195,0.7963,2.0208333333333334e-05
5,0.836189,0.629431,0.689192,0.909013,1.6448,2.13,-0.9348,0.7963,2.5208333333333334e-05
6,0.784037,0.579467,0.681902,0.834576,1.496,1.9618,-0.6413,0.8519,3.0208333333333334e-05
7,0.700924,0.502059,0.662884,0.681565,1.1988,1.6434,-0.1518,0.8333,3.520833333333334e-05
8,0.55199,0.365458,0.621773,0.561887,0.957,1.3582,0.2133,0.8333,4.020833333333334e-05
9,0.403206,0.231729,0.57159,0.472221,0.8043,1.1512,0.4349,0.7963,4.520833333333334e-05
10,0.34897,0.193662,0.517693,0.46128,0.7883,1.1637,0.4225,0.7778,5.020833333333333e-05
11,0.265942,0.127576,0.461221,0.371142,0.6751,1.0725,0.5094,0.8704,5.520833333333334e-05
12,0.253637,0.136359,0.390927,0.417057,0.74,1.1535,0.4326,0.8333,6.020833333333333e-05
13,0.231479,0.12299,0.36163,0.360846,0.6431,1.0403,0.5385,0.8519,6.520833333333334e-05
14,0.198105,0.104214,0.31297,0.423796,0.7652,1.1601,0.4261,0.8148,7.020833333333334e-05
15,0.195414,0.108257,0.290524,0.373226,0.6668,1.1029,0.4813,0.8704,7.520833333333334e-05
16,0.23485,0.134524,0.334419,0.397453,0.7498,1.1382,0.4475,0.8519,8.020833333333334e-05
17,0.241891,0.160185,0.272353,0.344763,0.6341,1.0646,0.5167,0.8704,8.520833333333334e-05
18,0.173937,0.103646,0.234302,0.354537,0.6694,1.1053,0.4791,0.8704,9.020833333333334e-05
19,0.169577,0.103999,0.218595,0.368035,0.7202,1.1001,0.4839,0.8704,9.520833333333333e-05
20,0.171065,0.107145,0.213066,0.33935,0.6625,1.0799,0.5027,0.8889,0.0001
21,0.146319,0.089425,0.189649,0.342576,0.6406,1.0578,0.5228,0.8519,9.999238475781957e-05
22,0.153206,0.097864,0.184474,0.417882,0.7945,1.1595,0.4267,0.8889,9.99695413509548e-05
