epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,3.890245,1.8568,2.1515,-0.9448,0.001
2,2.089347,1.3028,1.649,-0.1425,0.001
3,1.549732,1.2161,1.499,0.056,0.001
4,1.239222,1.1736,1.4571,0.108,0.001
5,0.953134,1.1228,1.4049,0.1707,0.001
6,0.925731,1.0452,1.2996,0.2904,0.001
7,0.695854,0.9518,1.1803,0.4147,0.001
8,0.689649,0.8893,1.1214,0.4717,0.001
9,0.602081,0.7235,0.9461,0.6239,0.001
10,0.469788,0.821,1.0549,0.5324,0.001
11,0.487063,0.5862,0.883,0.6725,0.001
12,0.461652,0.6292,0.9385,0.6299,0.001
13,0.490149,0.6771,0.9682,0.6062,0.001
14,0.487944,0.7583,1.0742,0.5152,0.001
15,0.360533,0.6687,0.9609,0.6121,0.001
16,0.329494,0.5837,0.9619,0.6113,0.001
17,0.301739,0.6799,1.0461,0.5403,0.001
18,0.290802,0.6748,1.0584,0.5294,0.001
19,0.268367,0.6975,1.0514,0.5356,0.001
20,0.238273,0.6643,1.0471,0.5394,0.001
21,0.233596,0.802,1.1722,0.4227,0.001
22,0.23711,0.6725,1.0817,0.5084,0.001
23,0.250094,0.721,1.135,0.4588,0.001
24,0.266083,0.7602,1.1381,0.4558,0.001
25,0.306099,0.7592,1.2314,0.363,0.001
26,0.319308,0.7132,1.079,0.5109,0.001
27,0.228915,0.7382,1.1482,0.4461,0.001
28,0.164089,0.6992,1.0844,0.5059,0.001
29,0.228766,0.6839,1.1027,0.4892,0.001
30,0.231325,0.6841,1.1336,0.4601,0.001
31,0.159947,0.7448,1.1551,0.4395,0.001
32,0.144092,0.7278,1.1518,0.4426,0.0005
33,0.129284,0.7079,1.1734,0.4215,0.0005
34,0.201072,0.7041,1.1707,0.4242,0.0005
35,0.108311,0.6775,1.1736,0.4213,0.0005
36,0.134504,0.7011,1.1333,0.4604,0.0005
37,0.217677,0.7367,1.195,0.4001,0.0005
38,0.146167,0.7759,1.1967,0.3983,0.0005
39,0.122887,0.6622,1.0963,0.4951,0.0005
40,0.128659,0.7725,1.2033,0.3917,0.0005
41,0.122369,0.7274,1.1485,0.4459,0.0005
42,0.097974,0.6803,1.1262,0.4671,0.0005
43,0.141855,0.7093,1.1816,0.4134,0.0005
44,0.088122,0.6923,1.1871,0.408,0.0005
45,0.107034,0.6894,1.1463,0.4479,0.0005
46,0.13603,0.7281,1.1911,0.404,0.0005
