epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,4.02653,2.128,2.4402,-1.5018,0.001
2,1.936213,1.2618,1.5862,-0.0571,0.001
3,1.447682,1.1944,1.4817,0.0776,0.001
4,1.005097,1.1598,1.4383,0.1309,0.001
5,0.853693,1.1455,1.4362,0.1334,0.001
6,0.851784,1.0459,1.3151,0.2733,0.001
7,0.666376,0.9725,1.2286,0.3658,0.001
8,0.600665,0.8539,1.0883,0.5024,0.001
9,0.606734,0.7378,0.9924,0.5862,0.001
10,0.454567,0.6535,0.9174,0.6464,0.001
11,0.550735,0.7893,1.0857,0.5047,0.001
12,0.439501,0.6604,0.9747,0.6008,0.001
13,0.521741,0.6259,0.9625,0.6108,0.001
14,0.575654,0.7175,1.0237,0.5597,0.001
15,0.558741,0.7298,1.0638,0.5245,0.001
16,0.382044,0.6996,1.0636,0.5247,0.001
17,0.308627,0.7392,1.0777,0.512,0.001
18,0.3074,0.5885,0.9368,0.6313,0.001
19,0.505883,0.6813,1.0464,0.54,0.001
20,0.338231,0.827,1.0624,0.5258,0.001
21,0.428104,0.6226,0.9836,0.5935,0.001
22,0.291948,0.612,0.9642,0.6094,0.001
23,0.239749,0.6054,0.9724,0.6027,0.001
24,0.279604,0.6424,1.027,0.5569,0.001
25,0.188442,0.6172,0.9723,0.6028,0.001
26,0.185122,0.6514,1.0196,0.5632,0.001
27,0.243715,0.6336,1.0185,0.5642,0.001
28,0.295886,0.7184,1.0749,0.5146,0.001
29,0.160494,0.6209,1.0225,0.5607,0.001
30,0.291945,0.6441,1.0827,0.5075,0.001
31,0.243543,0.701,1.0483,0.5383,0.001
32,0.195739,0.6978,1.1159,0.4769,0.001
33,0.166084,0.678,1.0921,0.4989,0.001
34,0.167454,0.6283,1.0803,0.5097,0.0005
35,0.143311,0.6329,1.0699,0.5191,0.0005
36,0.124535,0.6345,1.0825,0.5077,0.0005
37,0.111927,0.6431,1.1148,0.4778,0.0005
38,0.101666,0.6561,1.1266,0.4667,0.0005
39,0.128876,0.6381,1.0967,0.4947,0.0005
40,0.06801,0.6315,1.0884,0.5023,0.0005
41,0.100889,0.636,1.109,0.4833,0.0005
42,0.106855,0.66,1.1334,0.4602,0.0005
43,0.109369,0.6678,1.1428,0.4513,0.0005
44,0.106196,0.6722,1.1596,0.435,0.0005
45,0.092317,0.6596,1.1239,0.4693,0.0005
46,0.0997,0.6603,1.1193,0.4736,0.0005
47,0.084795,0.6675,1.1246,0.4687,0.0005
48,0.133103,0.6388,1.0916,0.4994,0.0005
