epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.861133,0.653201,0.693105,0.895594,1.6098,2.0705,-0.8281,0.7963,5.208333333333334e-06
2,0.761787,0.553945,0.692805,0.719058,1.244,1.6591,-0.1738,0.7963,1.0208333333333334e-05
3,0.636042,0.428444,0.691993,0.579188,0.9601,1.276,0.3057,0.7963,1.5208333333333333e-05
4,0.519672,0.312598,0.690247,0.505397,0.8047,1.076,0.5062,0.7963,2.0208333333333334e-05
5,0.431063,0.225092,0.68657,0.493204,0.7898,1.0116,0.5636,0.7963,2.5208333333333334e-05
6,0.401399,0.197492,0.67969,0.425837,0.651,0.8996,0.6549,0.8333,3.0208333333333334e-05
7,0.367043,0.167681,0.664538,0.424215,0.6469,0.9197,0.6393,0.8333,3.520833333333334e-05
8,0.353225,0.161695,0.638433,0.402673,0.6303,0.9099,0.6469,0.8148,4.020833333333334e-05
9,0.336699,0.156622,0.600255,0.398175,0.6584,0.912,0.6453,0.8148,4.520833333333334e-05
10,0.338091,0.172397,0.552312,0.381205,0.6298,0.8995,0.655,0.8333,5.020833333333333e-05
11,0.301658,0.153447,0.494037,0.336358,0.5922,0.8626,0.6827,0.8704,5.520833333333334e-05
12,0.270213,0.137394,0.442729,0.361704,0.6601,0.9106,0.6464,0.8333,6.020833333333333e-05
13,0.245159,0.13049,0.382231,0.332353,0.6465,0.9299,0.6313,0.8704,6.520833333333334e-05
14,0.227649,0.12516,0.34163,0.315292,0.5862,0.8948,0.6586,0.8704,7.020833333333334e-05
15,0.208458,0.121978,0.288268,0.415775,0.7415,1.0439,0.5352,0.8148,7.520833333333334e-05
16,0.212718,0.127387,0.284435,0.295082,0.5679,0.8833,0.6672,0.8519,8.020833333333334e-05
17,0.176288,0.104363,0.239752,0.400941,0.7538,1.076,0.5063,0.8519,8.520833333333334e-05
18,0.219507,0.147705,0.23934,0.329842,0.645,0.9748,0.5948,0.8889,9.020833333333334e-05
19,0.149826,0.098465,0.171203,0.415833,0.7643,1.0723,0.5097,0.8333,9.520833333333333e-05
20,0.145407,0.093436,0.173235,0.382688,0.7113,1.0315,0.5463,0.8148,0.0001
21,0.127308,0.087651,0.132189,0.36419,0.677,1.0057,0.5687,0.8519,9.999238475781957e-05
22,0.119779,0.080579,0.130667,0.340737,0.6875,1.0095,0.5654,0.9074,9.99695413509548e-05
23,0.141677,0.098555,0.143739,0.308227,0.5993,0.9456,0.6187,0.8519,9.99314767377287e-05
24,0.148812,0.112139,0.122244,0.364879,0.6918,0.9719,0.5972,0.8519,9.987820251299122e-05
25,0.10571,0.07769,0.0934,0.357694,0.6413,0.9754,0.5943,0.8704,9.980973490458728e-05
26,0.12233,0.092355,0.099917,0.358583,0.6742,0.9952,0.5776,0.8704,9.972609476841367e-05
27,0.116683,0.091243,0.084802,0.392509,0.7204,1.0546,0.5257,0.8519,9.962730758206611e-05
28,0.094737,0.07491,0.06609,0.357713,0.6089,0.9831,0.5879,0.8889,9.951340343707852e-05
29,0.095508,0.072188,0.077735,0.391559,0.6699,1.0022,0.5717,0.8889,9.938441702975689e-05
30,0.083263,0.065576,0.058958,0.334527,0.571,0.9282,0.6326,0.8889,9.924038765061042e-05
31,0.093061,0.068988,0.080245,0.343982,0.6155,0.9622,0.6052,0.8704,9.908135917238321e-05
32,0.076624,0.066195,0.034762,0.327736,0.5856,0.96,0.607,0.8889,9.890738003669029e-05
33,0.077214,0.066409,0.036017,0.356551,0.6511,1.0051,0.5692,0.8889,9.871850323926177e-05
34,0.077813,0.067292,0.035069,0.387305,0.5934,0.9999,0.5736,0.8704,9.851478631379982e-05
35,0.073787,0.067097,0.0223,0.397755,0.6687,1.013,0.5624,0.8704,9.829629131445342e-05
36,0.067563,0.060217,0.024484,0.40209,0.5824,0.9485,0.6164,0.8704,9.806308479691595e-05
37,0.081281,0.068848,0.041444,0.400609,0.5969,0.9616,0.6057,0.8148,9.781523779815179e-05
38,0.077424,0.062377,0.050158,0.413339,0.7655,1.0141,0.5614,0.8148,9.755282581475769e-05
39,0.071513,0.056464,0.050162,0.351748,0.659,0.9794,0.591,0.8889,9.727592877996585e-05
40,0.067279,0.055057,0.04074,0.331233,0.5847,0.893,0.6599,0.8704,9.698463103929542e-05
41,0.067642,0.060178,0.024879,0.397915,0.6374,0.9982,0.5751,0.8889,9.667902132486009e-05
42,0.064614,0.055306,0.031026,0.393128,0.6408,0.967,0.6013,0.8889,9.635919272833938e-05
43,0.062189,0.057672,0.015057,0.351195,0.5807,0.8678,0.6789,0.8889,9.602524267262203e-05
44,0.059673,0.047984,0.038966,0.370286,0.5934,0.8936,0.6595,0.8704,9.567727288213005e-05
45,0.065384,0.054299,0.036953,0.32483,0.6225,0.9043,0.6513,0.8889,9.53153893518325e-05
46,0.055996,0.051673,0.01441,0.337312,0.5756,0.8398,0.6992,0.9074,9.493970231495835e-05
