epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.887889,0.679957,0.693106,0.944469,1.7048,2.1863,-1.0384,0.7963,5.208333333333334e-06
2,0.773177,0.565346,0.69277,0.731635,1.2646,1.6879,-0.2149,0.7963,1.0208333333333334e-05
3,0.622131,0.41457,0.691869,0.569735,0.9471,1.2385,0.3459,0.7963,1.5208333333333333e-05
4,0.508303,0.30142,0.689609,0.484224,0.7641,1.0281,0.5492,0.7963,2.0208333333333334e-05
5,0.43142,0.226142,0.68426,0.448255,0.6999,0.9354,0.6268,0.7963,2.5208333333333334e-05
6,0.389538,0.187094,0.674814,0.411666,0.6171,0.8556,0.6878,0.7963,3.0208333333333334e-05
7,0.362255,0.164994,0.657536,0.38586,0.5761,0.8454,0.6952,0.8333,3.520833333333334e-05
8,0.353439,0.164465,0.629914,0.371577,0.5688,0.8665,0.6798,0.8333,4.020833333333334e-05
9,0.335442,0.15859,0.589507,0.395234,0.6574,0.9129,0.6446,0.8148,4.520833333333334e-05
10,0.317084,0.156104,0.536599,0.378483,0.6328,0.8934,0.6597,0.8333,5.020833333333333e-05
11,0.302743,0.156324,0.488064,0.421067,0.7629,0.9896,0.5824,0.8519,5.520833333333334e-05
12,0.284956,0.15365,0.437686,0.318535,0.5581,0.862,0.6831,0.8704,6.020833333333333e-05
13,0.232838,0.122934,0.366344,0.305178,0.5574,0.8987,0.6556,0.8519,6.520833333333334e-05
14,0.207389,0.109619,0.3259,0.311085,0.5999,0.8843,0.6665,0.8704,7.020833333333334e-05
15,0.214997,0.128758,0.287464,0.284438,0.548,0.8563,0.6873,0.8519,7.520833333333334e-05
16,0.195262,0.116032,0.264102,0.31362,0.5933,0.9121,0.6452,0.8704,8.020833333333334e-05
17,0.170794,0.109983,0.202705,0.357908,0.6979,0.9346,0.6275,0.8704,8.520833333333334e-05
18,0.175285,0.117231,0.193515,0.302545,0.5856,0.9565,0.6098,0.8519,9.020833333333334e-05
19,0.142129,0.097513,0.148721,0.379786,0.705,1.0363,0.542,0.8704,9.520833333333333e-05
20,0.154603,0.108073,0.155099,0.406903,0.7204,1.0312,0.5466,0.7778,0.0001
21,0.151999,0.100022,0.173256,0.410891,0.7521,1.0579,0.5227,0.8704,9.999238475781957e-05
22,0.132633,0.094257,0.127922,0.354239,0.6364,0.9537,0.6121,0.8704,9.99695413509548e-05
23,0.126596,0.088836,0.125866,0.350769,0.6504,0.999,0.5744,0.8704,9.99314767377287e-05
24,0.15623,0.113292,0.143128,0.316829,0.591,0.9035,0.6519,0.8704,9.987820251299122e-05
25,0.115846,0.085483,0.10121,0.327048,0.6259,0.9567,0.6097,0.8519,9.980973490458728e-05
26,0.090044,0.067635,0.074695,0.340401,0.6088,0.9159,0.6423,0.8519,9.972609476841367e-05
27,0.102509,0.075911,0.088661,0.44577,0.7719,1.1328,0.4528,0.8333,9.962730758206611e-05
28,0.122975,0.097963,0.083373,0.377684,0.6455,0.9857,0.5857,0.8704,9.951340343707852e-05
29,0.10819,0.088388,0.066009,0.44094,0.6621,1.0126,0.5628,0.7963,9.938441702975689e-05
30,0.084245,0.067531,0.055714,0.287189,0.4954,0.8743,0.674,0.8704,9.924038765061042e-05
31,0.08705,0.073046,0.046679,0.300774,0.5271,0.8785,0.6709,0.9074,9.908135917238321e-05
32,0.082808,0.067332,0.051586,0.297486,0.5727,0.8392,0.6996,0.8704,9.890738003669029e-05
33,0.078628,0.065459,0.043896,0.315869,0.5252,0.7905,0.7335,0.8889,9.871850323926177e-05
34,0.079993,0.060154,0.066132,0.308316,0.551,0.8519,0.6905,0.8704,9.851478631379982e-05
35,0.100755,0.076242,0.081708,0.344398,0.5932,0.8338,0.7035,0.8519,9.829629131445342e-05
36,0.085495,0.069805,0.052298,0.321306,0.5782,0.8351,0.7026,0.9074,9.806308479691595e-05
37,0.089404,0.070413,0.063304,0.307585,0.5668,0.8185,0.7143,0.8889,9.781523779815179e-05
38,0.076305,0.064615,0.038964,0.277927,0.51,0.7651,0.7504,0.8889,9.755282581475769e-05
39,0.075484,0.062632,0.04284,0.373289,0.6479,0.93,0.6312,0.8519,9.727592877996585e-05
40,0.077227,0.064759,0.041559,0.314529,0.5461,0.8144,0.7172,0.8704,9.698463103929542e-05
41,0.07408,0.064627,0.031508,0.299079,0.5096,0.7638,0.7512,0.8704,9.667902132486009e-05
42,0.065574,0.060781,0.015975,0.362941,0.5308,0.8501,0.6918,0.7963,9.635919272833938e-05
43,0.086122,0.071539,0.04861,0.346913,0.5559,0.8071,0.7222,0.8704,9.602524267262203e-05
44,0.063895,0.057885,0.020033,0.342036,0.6175,0.8849,0.6661,0.8889,9.567727288213005e-05
45,0.053901,0.051227,0.008912,0.313541,0.4981,0.74,0.7665,0.8519,9.53153893518325e-05
46,0.060753,0.058071,0.008942,0.34644,0.6047,0.8889,0.663,0.8704,9.493970231495835e-05
47,0.060468,0.05845,0.006726,0.297827,0.5313,0.786,0.7365,0.9074,9.45503262094184e-05
48,0.053467,0.050747,0.009069,0.280712,0.4829,0.7196,0.7792,0.8704,9.414737964294636e-05
49,0.064168,0.056099,0.026896,0.264472,0.4932,0.7117,0.784,0.8889,9.373098535696979e-05
50,0.054491,0.052003,0.008292,0.3166,0.546,0.754,0.7576,0.9074,9.330127018922194e-05
51,0.063937,0.055112,0.029419,0.298292,0.4584,0.6896,0.7972,0.8889,9.285836503510562e-05
52,0.054865,0.052182,0.008942,0.286337,0.5243,0.7587,0.7545,0.8704,9.24024048078213e-05
53,0.052555,0.04578,0.022585,0.250089,0.4604,0.6779,0.804,0.9259,9.193352839727121e-05
54,0.041031,0.039073,0.006525,0.262348,0.4019,0.6008,0.8461,0.9074,9.145187862775209e-05
55,0.058072,0.054664,0.01136,0.257274,0.4486,0.6849,0.8,0.8889,9.09576022144496e-05
56,0.063485,0.051533,0.039841,0.292729,0.49,0.7168,0.7809,0.8704,9.045084971874738e-05
57,0.054826,0.052213,0.008712,0.243378,0.5003,0.6658,0.811,0.9444,8.993177550236464e-05
58,0.069938,0.061004,0.029783,0.191811,0.3942,0.5664,0.8632,0.9444,8.940053768033609e-05
59,0.049441,0.047775,0.005553,0.283372,0.5018,0.7228,0.7772,0.9259,8.885729807284856e-05
60,0.046744,0.043192,0.011841,0.318488,0.5422,0.8056,0.7232,0.9074,8.83022221559489e-05
61,0.052187,0.05131,0.002923,0.283597,0.5333,0.7043,0.7885,0.9259,8.773547901113862e-05
62,0.054485,0.052346,0.007129,0.295556,0.503,0.7316,0.7717,0.9074,8.715724127386972e-05
63,0.037112,0.035339,0.005911,0.300118,0.4687,0.7048,0.7881,0.8889,8.656768508095853e-05
64,0.040395,0.039892,0.001678,0.258577,0.4593,0.6706,0.8082,0.9444,8.596699001693255e-05
65,0.037863,0.037082,0.002603,0.395017,0.6436,0.8717,0.676,0.8519,8.535533905932738e-05
66,0.037289,0.034945,0.007813,0.317223,0.5412,0.7129,0.7833,0.9074,8.473291852294987e-05
67,0.044873,0.037244,0.025429,0.318768,0.5171,0.7152,0.7819,0.8889,8.409991800312493e-05
68,0.043475,0.034012,0.031544,0.297564,0.5149,0.7163,0.7812,0.8889,8.345653031794292e-05
69,0.037711,0.036565,0.003819,0.226333,0.4012,0.5867,0.8532,0.9259,8.280295144952536e-05
70,0.031743,0.031334,0.001365,0.256398,0.4458,0.6305,0.8305,0.9259,8.213938048432697e-05
71,0.03029,0.029924,0.00122,0.319181,0.5248,0.7551,0.7569,0.8889,8.146601955249188e-05
72,0.031402,0.029674,0.00576,0.338605,0.5368,0.7603,0.7535,0.8519,8.07830737662829e-05
73,0.031543,0.031239,0.001013,0.253983,0.4224,0.5802,0.8564,0.9074,8.009075115760243e-05
74,0.037715,0.033468,0.014158,0.307172,0.5367,0.7323,0.7713,0.8889,7.938926261462366e-05
75,0.029861,0.029456,0.00135,0.270145,0.4733,0.6504,0.8196,0.8889,7.86788218175523e-05
76,0.032743,0.032416,0.001088,0.276548,0.4429,0.6653,0.8113,0.8889,7.795964517353735e-05
77,0.032195,0.031923,0.000906,0.261146,0.4221,0.6381,0.8264,0.8889,7.723195175075136e-05
78,0.033713,0.033358,0.001183,0.231812,0.3963,0.5459,0.8729,0.8889,7.649596321166024e-05
79,0.035157,0.034797,0.001199,0.232319,0.3934,0.5866,0.8532,0.9444,7.575190374550272e-05
80,0.03088,0.030635,0.000817,0.237503,0.3977,0.5877,0.8527,0.9259,7.500000000000001e-05
81,0.034907,0.034236,0.002237,0.308862,0.5194,0.699,0.7916,0.9074,7.424048101231686e-05
82,0.028179,0.027576,0.00201,0.233903,0.4223,0.6025,0.8452,0.9444,7.347357813929454e-05
83,0.027586,0.026973,0.002043,0.259611,0.4343,0.594,0.8495,0.8889,7.269952498697734e-05
84,0.030426,0.027561,0.009549,0.317584,0.4871,0.6676,0.8099,0.8889,7.191855733945387e-05
85,0.027184,0.026824,0.001199,0.286327,0.4355,0.5918,0.8506,0.8704,7.113091308703498e-05
86,0.031222,0.030831,0.001305,0.321612,0.4233,0.6332,0.829,0.8519,7.033683215379002e-05
87,0.02689,0.026712,0.000592,0.338905,0.4225,0.6444,0.8229,0.8704,6.953655642446368e-05
88,0.032332,0.032098,0.00078,0.278598,0.411,0.5533,0.8695,0.8889,6.873032967079561e-05
89,0.029666,0.029498,0.000558,0.270275,0.4084,0.5962,0.8484,0.8889,6.7918397477265e-05
90,0.037782,0.029186,0.028656,0.30939,0.4596,0.6393,0.8257,0.9074,6.710100716628344e-05
91,0.030396,0.028409,0.006621,0.256601,0.4009,0.5805,0.8563,0.9074,6.627840772285784e-05
92,0.022914,0.022738,0.000585,0.289525,0.461,0.6492,0.8202,0.9074,6.545084971874738e-05
93,0.030108,0.029955,0.00051,0.2695,0.4243,0.6076,0.8426,0.8889,6.461858523613684e-05
94,0.028331,0.028094,0.000792,0.288789,0.4732,0.6618,0.8132,0.9259,6.378186779084995e-05
95,0.028752,0.028242,0.001701,0.271684,0.424,0.5931,0.85,0.9259,6.294095225512603e-05
96,0.025847,0.024948,0.002995,0.290364,0.4037,0.5857,0.8537,0.8889,6.209609477998338e-05
97,0.027129,0.026445,0.002282,0.201921,0.3745,0.5235,0.8831,0.9444,6.124755271719325e-05
98,0.030544,0.024738,0.019354,0.310146,0.4082,0.5529,0.8696,0.9074,6.0395584540887963e-05
99,0.030394,0.027889,0.008348,0.225296,0.3943,0.5605,0.866,0.9259,5.9540449768827246e-05
100,0.028771,0.028416,0.00118,0.238445,0.4043,0.5247,0.8826,0.9259,5.868240888334653e-05
101,0.025202,0.023919,0.004278,0.23385,0.4048,0.581,0.8561,0.9259,5.782172325201155e-05
102,0.022703,0.020834,0.006229,0.261098,0.3712,0.5364,0.8773,0.9074,5.695865504800327e-05
103,0.027439,0.027207,0.000775,0.246557,0.3871,0.5715,0.8607,0.9074,5.6093467170257374e-05
104,0.027279,0.027058,0.000735,0.245598,0.4077,0.5702,0.8613,0.9259,5.522642316338268e-05
105,0.02304,0.022927,0.000379,0.25346,0.3904,0.5766,0.8582,0.8704,5.435778713738292e-05
106,0.024854,0.024731,0.00041,0.24327,0.3627,0.5476,0.8721,0.8889,5.348782368720626e-05
107,0.024484,0.024381,0.000344,0.231603,0.4086,0.5556,0.8683,0.9444,5.26167978121472e-05
108,0.021554,0.021457,0.000325,0.220242,0.3839,0.5304,0.88,0.9444,5.174497483512506e-05
109,0.01998,0.019878,0.00034,0.235312,0.4067,0.562,0.8653,0.9444,5.0872620321864185e-05
110,0.02491,0.024809,0.000334,0.22734,0.394,0.5541,0.8691,0.9444,5e-05
111,0.020167,0.02003,0.000457,0.241509,0.409,0.5685,0.8622,0.9444,4.912737967813583e-05
112,0.020714,0.020614,0.000331,0.235082,0.3961,0.5436,0.874,0.9444,4.825502516487497e-05
113,0.026542,0.026453,0.000297,0.242515,0.3724,0.5411,0.8751,0.9259,4.738320218785281e-05
114,0.023581,0.023481,0.000334,0.25838,0.4406,0.6218,0.8351,0.9444,4.6512176312793736e-05
115,0.025811,0.025703,0.000359,0.250276,0.425,0.5644,0.8642,0.9259,4.564221286261709e-05
116,0.021764,0.021673,0.000306,0.233812,0.4003,0.5437,0.8739,0.9444,4.477357683661734e-05
117,0.021237,0.021109,0.000425,0.236947,0.3818,0.5313,0.8796,0.9259,4.390653282974264e-05
118,0.019407,0.019322,0.000284,0.243902,0.3987,0.5507,0.8707,0.9259,4.3041344951996746e-05
119,0.021757,0.021671,0.000287,0.254067,0.4245,0.5921,0.8505,0.9259,4.2178276747988446e-05
120,0.021134,0.021045,0.000298,0.232531,0.366,0.5297,0.8804,0.9444,4.131759111665349e-05
121,0.019109,0.019013,0.000319,0.247215,0.3509,0.5179,0.8856,0.9074,4.045955023117276e-05
122,0.015438,0.015359,0.000263,0.254941,0.4094,0.5482,0.8718,0.9074,3.960441545911204e-05
123,0.022515,0.022213,0.001006,0.246962,0.3772,0.5278,0.8812,0.9074,3.875244728280676e-05
124,0.020304,0.020218,0.000286,0.229892,0.3693,0.5172,0.8859,0.9444,3.790390522001662e-05
125,0.019399,0.019314,0.000283,0.22444,0.3586,0.5104,0.8889,0.9444,3.705904774487396e-05
126,0.020186,0.020031,0.000517,0.218557,0.3654,0.4967,0.8948,0.9444,3.6218132209150045e-05
127,0.019935,0.019858,0.00026,0.230225,0.3839,0.5304,0.88,0.9444,3.5381414763863166e-05
128,0.019928,0.019839,0.000296,0.232261,0.379,0.5389,0.8762,0.9444,3.4549150281252636e-05
129,0.019148,0.019041,0.000357,0.229579,0.3712,0.5255,0.8822,0.9444,3.372159227714218e-05
130,0.022527,0.022451,0.00025,0.238674,0.394,0.5451,0.8733,0.9259,3.289899283371657e-05
131,0.02184,0.021645,0.000651,0.237267,0.3624,0.5202,0.8846,0.9259,3.2081602522734986e-05
132,0.019129,0.019061,0.000228,0.251417,0.3652,0.5077,0.8901,0.9259,3.12696703292044e-05
133,0.01956,0.019493,0.000225,0.27868,0.3626,0.5233,0.8832,0.8889,3.046344357553632e-05
134,0.016541,0.016479,0.000207,0.250946,0.3714,0.5136,0.8875,0.9259,2.9663167846209998e-05
135,0.017932,0.017854,0.00026,0.237326,0.3454,0.4997,0.8935,0.9259,2.886908691296504e-05
136,0.018592,0.018515,0.000258,0.237187,0.3742,0.529,0.8806,0.9444,2.8081442660546125e-05
137,0.01925,0.019161,0.000294,0.230082,0.3679,0.5086,0.8897,0.9444,2.7300475013022663e-05
138,0.020902,0.020806,0.000318,0.225437,0.3507,0.4851,0.8996,0.9444,2.6526421860705473e-05
139,0.019972,0.019889,0.000278,0.224473,0.3476,0.4923,0.8967,0.9444,2.575951898768315e-05
140,0.0184,0.01834,0.000201,0.22923,0.3432,0.5001,0.8933,0.9259,2.500000000000001e-05
141,0.018975,0.018916,0.000198,0.236262,0.3682,0.5174,0.8858,0.9444,2.4248096254497288e-05
142,0.018301,0.018226,0.000251,0.232888,0.3579,0.5175,0.8858,0.9444,2.350403678833976e-05
143,0.016132,0.016041,0.000303,0.22711,0.3393,0.49,0.8976,0.9444,2.2768048249248648e-05
144,0.017995,0.017781,0.000715,0.252706,0.3664,0.4973,0.8945,0.9074,2.2040354826462668e-05
145,0.020336,0.020204,0.000441,0.228761,0.3492,0.5014,0.8928,0.9444,2.132117818244771e-05
146,0.016449,0.016356,0.000308,0.234527,0.3703,0.5212,0.8842,0.9444,2.061073738537635e-05
147,0.023432,0.02335,0.000272,0.237084,0.3701,0.5293,0.8805,0.9444,1.9909248842397584e-05
148,0.018155,0.018092,0.000208,0.235515,0.3578,0.5159,0.8865,0.9444,1.9216926233717085e-05
149,0.015513,0.01543,0.000278,0.244153,0.3804,0.5531,0.8695,0.9444,1.8533980447508137e-05
150,0.018339,0.018268,0.000235,0.234025,0.3501,0.5176,0.8858,0.9444,1.7860619515673033e-05
151,0.0156,0.015545,0.000183,0.240135,0.3724,0.5349,0.878,0.9444,1.7197048550474643e-05
152,0.018109,0.018058,0.00017,0.240077,0.3692,0.513,0.8878,0.9444,1.6543469682057106e-05
153,0.016868,0.016813,0.000182,0.248285,0.3733,0.5179,0.8856,0.9259,1.5900081996875083e-05
154,0.015891,0.015837,0.00018,0.249781,0.3816,0.5291,0.8806,0.9259,1.526708147705013e-05
155,0.016232,0.016178,0.000182,0.2447,0.3681,0.5141,0.8873,0.9259,1.4644660940672627e-05
156,0.017462,0.017396,0.000222,0.239962,0.3621,0.5025,0.8923,0.9259,1.4033009983067452e-05
157,0.016725,0.016653,0.000242,0.240339,0.3442,0.4923,0.8967,0.9259,1.3432314919041478e-05
158,0.014488,0.014436,0.000175,0.244024,0.3655,0.507,0.8904,0.9259,1.2842758726130283e-05
159,0.013283,0.013227,0.000187,0.233493,0.3355,0.4908,0.8973,0.9444,1.22645209888614e-05
160,0.015755,0.015701,0.000179,0.23787,0.3524,0.4997,0.8935,0.9444,1.1697777844051105e-05
161,0.014674,0.014617,0.000187,0.236657,0.3518,0.5012,0.8929,0.9444,1.1142701927151456e-05
162,0.017507,0.01745,0.000189,0.239702,0.3547,0.502,0.8925,0.9444,1.0599462319663905e-05
163,0.01927,0.019218,0.000172,0.242258,0.3623,0.5094,0.8893,0.9444,1.006822449763537e-05
164,0.015264,0.015207,0.000191,0.244439,0.3618,0.5105,0.8888,0.9259,9.549150281252633e-06
165,0.013854,0.013798,0.000185,0.240154,0.3615,0.5106,0.8888,0.9444,9.042397785550405e-06
166,0.017324,0.017266,0.000193,0.242282,0.3731,0.5211,0.8842,0.9444,8.548121372247918e-06
167,0.015992,0.015942,0.000166,0.241516,0.3679,0.5097,0.8892,0.9444,8.066471602728803e-06
168,0.015345,0.015298,0.000156,0.236075,0.3527,0.5023,0.8924,0.9444,7.597595192178702e-06
169,0.015234,0.015177,0.000188,0.238792,0.3538,0.5051,0.8912,0.9444,7.1416349648943894e-06
170,0.01712,0.017061,0.000196,0.240091,0.3658,0.5097,0.8892,0.9444,6.698729810778065e-06
171,0.015789,0.015743,0.000151,0.243895,0.3804,0.523,0.8833,0.9444,6.269014643030213e-06
172,0.014385,0.014333,0.000173,0.242259,0.3709,0.5127,0.8879,0.9444,5.852620357053651e-06
173,0.013068,0.013008,0.000199,0.241682,0.3639,0.5094,0.8893,0.9444,5.449673790581611e-06
174,0.017235,0.017122,0.000376,0.239613,0.3664,0.508,0.89,0.9444,5.060297685041659e-06
175,0.013545,0.013493,0.000176,0.24107,0.3749,0.5146,0.8871,0.9444,4.684610648167503e-06
176,0.015083,0.015024,0.000198,0.240104,0.3706,0.5156,0.8866,0.9444,4.322727117869951e-06
177,0.016278,0.016208,0.000233,0.238466,0.3698,0.521,0.8843,0.9444,3.974757327377981e-06
178,0.018709,0.018645,0.000214,0.235341,0.3609,0.5133,0.8876,0.9444,3.6408072716606346e-06
179,0.013512,0.013452,0.0002,0.235608,0.3608,0.5143,0.8872,0.9444,3.3209786751399187e-06
180,0.017474,0.017415,0.000197,0.232398,0.3534,0.5036,0.8919,0.9444,3.0153689607045845e-06
181,0.016953,0.016898,0.000184,0.234502,0.3491,0.4977,0.8944,0.9444,2.724071220034158e-06
182,0.017271,0.017212,0.000198,0.232587,0.3482,0.5044,0.8915,0.9444,2.4471741852423237e-06
183,0.014687,0.014598,0.000296,0.234855,0.3526,0.505,0.8912,0.9444,2.1847622018482283e-06
184,0.015665,0.015618,0.000158,0.233916,0.349,0.4985,0.894,0.9444,1.9369152030840556e-06
185,0.014148,0.014083,0.000215,0.232796,0.3484,0.499,0.8938,0.9444,1.70370868554659e-06
186,0.019206,0.019142,0.000213,0.233672,0.3489,0.4989,0.8939,0.9444,1.4852136862001764e-06
187,0.014827,0.014776,0.000171,0.234648,0.3472,0.4956,0.8953,0.9444,1.2814967607382432e-06
188,0.014283,0.014239,0.000147,0.233623,0.3505,0.4986,0.894,0.9444,1.0926199633097157e-06
189,0.016896,0.016838,0.000194,0.234669,0.3554,0.5045,0.8915,0.9444,9.186408276168013e-07
