target_bg,best_pred_bg_mean,best_pred_bg_std,best_error,best_A,best_B,best_base,best_charge_warning,best_low_confidence
1.0,0.7866546511650085,0.20510508581526407,0.21334534883499146,Ce,Ge,mp-19269,True,False
2.0,1.9250736474990844,0.32511213758732377,0.07492635250091562,Na,Pb,mp-756464,True,False
3.0,2.572751784324646,0.5365525038070861,0.4272482156753541,La,Nb,mp-1180739,False,True
