epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.868957,0.661027,0.693101,0.909102,1.6335,2.1271,-0.9294,0.7963,5.208333333333334e-06
2,0.77119,0.563357,0.692777,0.709613,1.2135,1.6498,-0.1607,0.7963,1.0208333333333334e-05
3,0.636727,0.429152,0.691916,0.585177,0.9701,1.2876,0.293,0.7963,1.5208333333333333e-05
4,0.519426,0.312463,0.689877,0.491877,0.7872,1.0433,0.5358,0.7963,2.0208333333333334e-05
5,0.440134,0.234429,0.685681,0.45503,0.7194,0.9628,0.6047,0.7963,2.5208333333333334e-05
6,0.417437,0.214304,0.677111,0.572746,0.9579,1.287,0.2936,0.8333,3.0208333333333334e-05
7,0.40209,0.203683,0.661359,0.387412,0.5695,0.8369,0.7013,0.7963,3.520833333333334e-05
8,0.356123,0.165992,0.633771,0.370245,0.5743,0.8394,0.6995,0.7963,4.020833333333334e-05
9,0.347152,0.169358,0.592646,0.370081,0.6017,0.8603,0.6844,0.8148,4.520833333333334e-05
10,0.309039,0.146496,0.54181,0.349808,0.5879,0.8407,0.6986,0.8704,5.020833333333333e-05
11,0.301367,0.153595,0.492573,0.34765,0.6217,0.9023,0.6528,0.8889,5.520833333333334e-05
12,0.295257,0.162632,0.442085,0.38484,0.7089,0.964,0.6037,0.8519,6.020833333333333e-05
13,0.231043,0.118417,0.375421,0.344836,0.6698,0.9474,0.6172,0.8519,6.520833333333334e-05
14,0.270452,0.16716,0.344308,0.285313,0.5507,0.8477,0.6935,0.8704,7.020833333333334e-05
15,0.21814,0.128748,0.297974,0.340229,0.655,0.947,0.6176,0.8704,7.520833333333334e-05
16,0.185435,0.107142,0.260978,0.333131,0.6405,0.9944,0.5783,0.8889,8.020833333333334e-05
17,0.178935,0.11109,0.226152,0.379597,0.703,1.005,0.5693,0.8519,8.520833333333334e-05
18,0.178319,0.115833,0.208288,0.291228,0.5422,0.898,0.6561,0.8704,9.020833333333334e-05
19,0.189792,0.12548,0.214375,0.338746,0.6471,1.0484,0.5313,0.8519,9.520833333333333e-05
20,0.165805,0.10421,0.205318,0.317277,0.6111,0.9623,0.6051,0.9074,0.0001
21,0.12768,0.083444,0.147454,0.325323,0.6295,0.9566,0.6097,0.8889,9.999238475781957e-05
22,0.128407,0.09213,0.120923,0.29522,0.5865,0.9159,0.6423,0.8704,9.99695413509548e-05
23,0.143512,0.102919,0.135309,0.365672,0.7056,1.0595,0.5213,0.8704,9.99314767377287e-05
24,0.106703,0.083139,0.078547,0.349624,0.6474,1.0114,0.5638,0.8704,9.987820251299122e-05
25,0.125833,0.098035,0.092658,0.288762,0.5598,0.8969,0.6569,0.9074,9.980973490458728e-05
26,0.149307,0.115987,0.111067,0.320522,0.5962,0.9682,0.6003,0.9074,9.972609476841367e-05
27,0.121965,0.089631,0.107777,0.363884,0.634,0.9912,0.5811,0.8519,9.962730758206611e-05
28,0.103692,0.080275,0.078055,0.298291,0.5673,0.9005,0.6542,0.9074,9.951340343707852e-05
29,0.099818,0.075862,0.079856,0.314888,0.5913,0.9256,0.6347,0.8889,9.938441702975689e-05
30,0.119195,0.091848,0.091155,0.295067,0.5481,0.8636,0.682,0.8889,9.924038765061042e-05
31,0.111846,0.089491,0.074518,0.340719,0.6349,0.9343,0.6277,0.8704,9.908135917238321e-05
32,0.092129,0.076999,0.050433,0.388142,0.6524,0.9337,0.6282,0.8519,9.890738003669029e-05
33,0.094683,0.082721,0.039874,0.285448,0.5146,0.8081,0.7215,0.8889,9.871850323926177e-05
