epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,2.904671,1.7126,1.9811,-0.649,0.001
2,1.91112,1.2201,1.507,0.0458,0.001
3,1.420574,1.2359,1.4646,0.0988,0.001
4,1.174397,1.1292,1.3678,0.2139,0.001
5,0.898427,1.0526,1.2845,0.3068,0.001
6,0.829351,1.041,1.3073,0.282,0.001
7,0.662697,0.8763,1.0997,0.4919,0.001
8,0.623696,0.6171,0.8494,0.6968,0.001
9,0.516511,0.5923,0.8592,0.6898,0.001
10,0.666738,0.7953,1.0248,0.5588,0.001
11,0.869915,0.6822,0.9525,0.6188,0.001
12,0.688816,0.5818,0.8403,0.7033,0.001
13,0.467283,0.5632,0.8386,0.7045,0.001
14,0.432869,0.5366,0.865,0.6857,0.001
15,0.298776,0.6076,0.8955,0.6631,0.001
16,0.312807,0.6494,0.9651,0.6086,0.001
17,0.313895,0.5837,0.9161,0.6474,0.001
18,0.416214,0.5302,0.8877,0.6689,0.001
19,0.43764,0.6252,0.9681,0.6063,0.001
20,0.276575,0.6506,0.9911,0.5873,0.001
21,0.224113,0.5918,0.9529,0.6185,0.001
22,0.174008,0.6215,1.0062,0.5746,0.001
23,0.196325,0.6056,0.9887,0.5893,0.001
24,0.199775,0.731,1.1396,0.4543,0.001
25,0.296317,0.5849,0.9774,0.5987,0.001
26,0.181307,0.6015,1.036,0.5491,0.001
27,0.149964,0.5989,1.0276,0.5564,0.001
28,0.139046,0.6142,1.0539,0.5333,0.001
29,0.121545,0.6247,1.0579,0.5298,0.001
30,0.141622,0.6424,1.066,0.5226,0.001
31,0.218316,0.6232,1.0732,0.5161,0.001
32,0.214271,0.5926,1.0656,0.5229,0.001
33,0.147179,0.6146,1.0842,0.5061,0.001
34,0.184883,0.6174,1.0306,0.5537,0.0005
35,0.129364,0.5961,1.0052,0.5755,0.0005
36,0.117873,0.6125,1.0426,0.5433,0.0005
37,0.207999,0.618,1.0593,0.5285,0.0005
38,0.079502,0.6361,1.0921,0.4989,0.0005
39,0.108163,0.6232,1.0813,0.5088,0.0005
40,0.135733,0.6434,1.1217,0.4714,0.0005
41,0.087367,0.6371,1.1035,0.4884,0.0005
42,0.13805,0.6296,1.0978,0.4937,0.0005
43,0.055343,0.6591,1.113,0.4795,0.0005
44,0.075697,0.6627,1.1408,0.4532,0.0005
45,0.067089,0.623,1.1017,0.4901,0.0005
46,0.07335,0.6238,1.0924,0.4987,0.0005
47,0.127142,0.6305,1.1174,0.4754,0.0005
48,0.059053,0.6204,1.0749,0.5146,0.0005
