epoch,train_loss,val_mae,val_rmse,val_r2
1,1.838378,0.7964,1.088,0.4952
2,0.466511,0.6558,1.0932,0.4904
3,0.442036,0.6866,1.0528,0.5273
4,0.350191,0.6887,1.0759,0.5064
5,0.361974,0.6326,1.0407,0.5381
6,0.389488,0.6673,1.0839,0.499
7,0.280628,0.6211,1.027,0.5503
8,0.304427,0.7093,1.0865,0.4966
9,0.233438,0.5873,0.9766,0.5933
10,0.210701,0.6366,0.999,0.5744
11,0.277122,0.6186,1.038,0.5405
12,0.254583,0.5967,0.9734,0.5959
13,0.208599,0.6939,1.0633,0.5179
14,0.175951,0.6339,1.061,0.52
15,0.178087,0.6397,1.0331,0.5449
16,0.229037,0.633,1.0129,0.5625
17,0.228468,0.7074,1.0329,0.545
18,0.214995,0.7062,1.0623,0.5188
19,0.193284,0.6055,0.9846,0.5866
20,0.158628,0.6419,0.9969,0.5762
21,0.186286,0.6126,0.9893,0.5827
22,0.215974,0.5933,1.0087,0.5661
23,0.184152,0.6185,0.9929,0.5796
24,0.147916,0.6685,1.0809,0.5018
