epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.328765,0.120834,0.693102,0.407778,0.5842,0.9785,0.5917,0.7963,5.208333333333334e-06
2,0.310344,0.102526,0.692727,0.439335,0.6534,1.0211,0.5554,0.7963,1.0208333333333334e-05
3,0.303034,0.095493,0.691804,0.424986,0.6228,0.996,0.577,0.7963,1.5208333333333333e-05
4,0.320282,0.113317,0.689883,0.423767,0.6163,1.0082,0.5666,0.8148,2.0208333333333334e-05
5,0.322015,0.116377,0.68546,0.437633,0.6535,1.0422,0.5368,0.8333,2.5208333333333334e-05
6,0.3124,0.109476,0.676412,0.446166,0.6888,1.0941,0.4895,0.8519,3.0208333333333334e-05
7,0.296728,0.099104,0.658746,0.442716,0.6904,1.0869,0.4963,0.8333,3.520833333333334e-05
8,0.282829,0.094526,0.627676,0.442576,0.7203,1.1345,0.4511,0.8333,4.020833333333334e-05
9,0.277217,0.103343,0.57958,0.418751,0.6804,1.0959,0.4879,0.8704,4.520833333333334e-05
10,0.278159,0.119555,0.528679,0.467085,0.7958,1.1624,0.4238,0.7778,5.020833333333333e-05
11,0.226937,0.089185,0.459172,0.390132,0.6846,1.0821,0.5007,0.8519,5.520833333333334e-05
12,0.212451,0.091134,0.404388,0.401458,0.7138,1.1095,0.4751,0.8148,6.020833333333333e-05
13,0.199435,0.097698,0.339125,0.405314,0.7351,1.1491,0.4369,0.8333,6.520833333333334e-05
14,0.196044,0.099715,0.321097,0.359656,0.6808,1.031,0.5467,0.8519,7.020833333333334e-05
15,0.180406,0.102178,0.260762,0.403012,0.7391,1.1078,0.4767,0.8333,7.520833333333334e-05
16,0.190206,0.110434,0.265906,0.35526,0.6609,1.0936,0.49,0.8333,8.020833333333334e-05
17,0.172534,0.096677,0.252856,0.365352,0.6963,1.1106,0.4741,0.8519,8.520833333333334e-05
18,0.186437,0.114086,0.241171,0.344619,0.6445,1.0586,0.5221,0.8704,9.020833333333334e-05
19,0.145379,0.091584,0.179316,0.408807,0.7489,1.1496,0.4364,0.8333,9.520833333333333e-05
20,0.134428,0.08528,0.163826,0.431665,0.8068,1.1616,0.4246,0.8519,0.0001
21,0.141591,0.100473,0.137059,0.38759,0.7062,1.083,0.4998,0.8704,9.999238475781957e-05
22,0.125647,0.084113,0.138448,0.404243,0.7552,1.1146,0.4702,0.8704,9.99695413509548e-05
23,0.142866,0.101935,0.136434,0.348712,0.6026,1.0111,0.564,0.8519,9.99314767377287e-05
24,0.15474,0.105822,0.16306,0.373067,0.6761,1.0584,0.5223,0.8519,9.987820251299122e-05
