epoch,train_loss,train_acc,val_loss,val_s2t_acc,val_t2s_acc,val_acc,val_pos_sim,temperature
77,4.7814,0.4023,3.9282,0.5185,0.4259,0.4722,0.8501,0.0767
78,4.7829,0.3887,3.9283,0.5185,0.4074,0.463,0.8478,0.0767
79,4.7836,0.3926,3.9273,0.5741,0.4074,0.4907,0.867,0.0768
80,4.7814,0.4297,3.9275,0.5741,0.4259,0.5,0.8691,0.0769
81,4.7837,0.3965,3.9284,0.5556,0.3519,0.4537,0.8604,0.077
82,4.7829,0.3906,3.9277,0.5556,0.4074,0.4815,0.8648,0.0771
83,4.7831,0.3945,3.9288,0.537,0.3519,0.4444,0.839,0.0772
84,4.7826,0.4258,3.929,0.5185,0.3889,0.4537,0.8361,0.0773
85,4.7815,0.4238,3.928,0.5741,0.3889,0.4815,0.8564,0.0774
86,4.7825,0.4258,3.9281,0.5741,0.4074,0.4907,0.8621,0.0775
87,4.7811,0.4043,3.928,0.5556,0.4074,0.4815,0.8619,0.0776
88,4.7811,0.4277,3.9279,0.5556,0.4074,0.4815,0.8597,0.0776
89,4.7816,0.498,3.9283,0.5741,0.3519,0.463,0.8546,0.0777
90,4.7815,0.4473,3.9282,0.5926,0.3704,0.4815,0.8555,0.0778
91,4.7803,0.5039,3.928,0.6111,0.3889,0.5,0.8619,0.0779
92,4.7833,0.4121,3.928,0.537,0.3889,0.463,0.8654,0.078
93,4.7813,0.4258,3.9271,0.5741,0.4259,0.5,0.87,0.0781
94,4.7811,0.4297,3.9263,0.5556,0.4444,0.5,0.8744,0.0782
95,4.7805,0.4902,3.9264,0.5185,0.463,0.4907,0.8679,0.0783
96,4.7806,0.4785,3.9261,0.5741,0.4815,0.5278,0.8723,0.0784
97,4.779,0.4648,3.9262,0.5741,0.5,0.537,0.8739,0.0785
98,4.779,0.4707,3.9262,0.5741,0.5,0.537,0.8746,0.0786
99,4.7799,0.4824,3.9266,0.5741,0.4815,0.5278,0.8726,0.0786
100,4.7824,0.4473,3.927,0.5556,0.4444,0.5,0.8715,0.0787
101,4.7806,0.5117,3.927,0.537,0.4444,0.4907,0.8798,0.0788
102,4.7809,0.4512,3.9269,0.537,0.4444,0.4907,0.8789,0.0789
103,4.7813,0.4121,3.9271,0.5556,0.4444,0.5,0.8663,0.079
104,4.7791,0.4785,3.9281,0.5556,0.4444,0.5,0.8392,0.0791
105,4.7799,0.457,3.9286,0.537,0.5,0.5185,0.8289,0.0792
106,4.7839,0.4023,3.9275,0.5556,0.4444,0.5,0.8521,0.0793
107,4.7776,0.502,3.9269,0.5185,0.3889,0.4537,0.8607,0.0794
108,4.7792,0.4785,3.9267,0.5185,0.3704,0.4444,0.8658,0.0795
109,4.78,0.4961,3.9268,0.4815,0.4259,0.4537,0.8574,0.0796
110,4.7797,0.4551,3.9272,0.5185,0.4074,0.463,0.8491,0.0797
111,4.779,0.4805,3.9275,0.5,0.463,0.4815,0.8419,0.0797
112,4.7779,0.4688,3.9277,0.5556,0.4259,0.4907,0.8371,0.0798
113,4.7771,0.4961,3.928,0.5741,0.463,0.5185,0.8324,0.0799
114,4.7788,0.4746,3.9284,0.537,0.4815,0.5093,0.8274,0.08
115,4.7787,0.4141,3.9279,0.6296,0.4074,0.5185,0.8433,0.0801
116,4.7787,0.4766,3.9263,0.5926,0.5185,0.5556,0.8824,0.0802
117,4.7785,0.4512,3.9267,0.5556,0.3704,0.463,0.8834,0.0803
118,4.7781,0.4941,3.9261,0.5741,0.4815,0.5278,0.8823,0.0804
119,4.7779,0.498,3.9271,0.5741,0.537,0.5556,0.8564,0.0805
120,4.7779,0.498,3.9281,0.537,0.5,0.5185,0.8345,0.0806
121,4.7764,0.4805,3.928,0.5741,0.5,0.537,0.836,0.0807
122,4.7784,0.5508,3.9275,0.5741,0.5185,0.5463,0.8501,0.0808
123,4.7768,0.4785,3.927,0.5556,0.5,0.5278,0.8662,0.0809
124,4.7767,0.5156,3.9271,0.5556,0.537,0.5463,0.8619,0.081
125,4.777,0.5215,3.9272,0.5741,0.5185,0.5463,0.8597,0.0811
126,4.7766,0.5723,3.927,0.5556,0.4815,0.5185,0.8599,0.0811
127,4.7755,0.4648,3.9269,0.5741,0.4815,0.5278,0.8578,0.0812
128,4.7778,0.4883,3.9268,0.5741,0.463,0.5185,0.859,0.0813
129,4.7773,0.4883,3.9269,0.5556,0.463,0.5093,0.8605,0.0814
130,4.7769,0.5195,3.9275,0.5926,0.4074,0.5,0.8613,0.0815
131,4.7755,0.5352,3.9276,0.5926,0.4444,0.5185,0.8585,0.0816
132,4.7763,0.5488,3.9279,0.5556,0.5,0.5278,0.8478,0.0817
133,4.7753,0.5195,3.9288,0.537,0.5185,0.5278,0.825,0.0818
134,4.775,0.4688,3.9291,0.5185,0.4444,0.4815,0.8164,0.0819
135,4.7777,0.4922,3.928,0.6111,0.5,0.5556,0.8351,0.082
136,4.7752,0.5371,3.9268,0.6296,0.463,0.5463,0.8569,0.0821
137,4.7755,0.5,3.9269,0.6111,0.4815,0.5463,0.8573,0.0822
138,4.7753,0.5801,3.9268,0.6111,0.463,0.537,0.858,0.0823
139,4.775,0.5312,3.9267,0.5741,0.463,0.5185,0.8543,0.0824
140,4.7746,0.5215,3.9274,0.5741,0.5,0.537,0.8405,0.0825
141,4.7746,0.582,3.9285,0.5926,0.5,0.5463,0.823,0.0826
142,4.775,0.5996,3.9287,0.5926,0.4815,0.537,0.8223,0.0827
143,4.7759,0.5332,3.9277,0.5926,0.5,0.5463,0.8437,0.0828
144,4.7752,0.5469,3.9277,0.5926,0.5,0.5463,0.853,0.0829
145,4.7749,0.5742,3.928,0.6296,0.5,0.5648,0.8543,0.083
146,4.7751,0.5117,3.9273,0.5556,0.5,0.5278,0.8527,0.0831
147,4.7749,0.5391,3.9273,0.5,0.5185,0.5093,0.8388,0.0832
148,4.7746,0.5195,3.9276,0.5185,0.4815,0.5,0.8279,0.0833
149,4.7775,0.4727,3.9267,0.5741,0.5,0.537,0.8416,0.0834
150,4.776,0.4824,3.9256,0.5741,0.5185,0.5463,0.857,0.0835
151,4.7742,0.5488,3.9257,0.537,0.3704,0.4537,0.8557,0.0836
152,4.7744,0.5137,3.9252,0.5556,0.3889,0.4722,0.8579,0.0836
153,4.7755,0.4355,3.9245,0.5926,0.4815,0.537,0.8605,0.0837
154,4.7733,0.5293,3.9253,0.5185,0.5185,0.5185,0.8463,0.0838
155,4.7738,0.5273,3.9261,0.5,0.5,0.5,0.834,0.0839
156,4.7758,0.5059,3.9255,0.6111,0.5,0.5556,0.8479,0.084
