epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.320355,0.112422,0.693109,0.410218,0.5883,0.98,0.5905,0.7963,5.208333333333334e-06
2,0.302118,0.094272,0.692819,0.4379,0.6466,1.0429,0.5362,0.7963,1.0208333333333334e-05
3,0.317127,0.109492,0.692118,0.415082,0.6089,0.9795,0.5908,0.7963,1.5208333333333333e-05
4,0.301896,0.094813,0.690277,0.437092,0.6445,1.0454,0.5339,0.7963,2.0208333333333334e-05
5,0.311794,0.105984,0.686035,0.451226,0.6807,1.0801,0.5026,0.7963,2.5208333333333334e-05
6,0.313298,0.110463,0.676118,0.459454,0.7131,1.0833,0.4996,0.7963,3.0208333333333334e-05
7,0.310913,0.114046,0.656221,0.429537,0.6581,1.0477,0.5319,0.8333,3.520833333333334e-05
8,0.290533,0.103177,0.624521,0.446122,0.7185,1.0942,0.4894,0.8333,4.020833333333334e-05
9,0.281049,0.106813,0.580787,0.396586,0.6497,1.0159,0.5599,0.7963,4.520833333333334e-05
10,0.258325,0.100897,0.52476,0.423649,0.7095,1.1483,0.4377,0.8519,5.020833333333333e-05
11,0.243458,0.104014,0.464812,0.403663,0.7095,1.1082,0.4763,0.8333,5.520833333333334e-05
12,0.217604,0.09742,0.400614,0.362056,0.6456,1.0523,0.5278,0.8519,6.020833333333333e-05
13,0.200688,0.096498,0.3473,0.442205,0.8004,1.1741,0.4121,0.7963,6.520833333333334e-05
14,0.194006,0.103074,0.303106,0.365975,0.6771,1.092,0.4915,0.8704,7.020833333333334e-05
15,0.181222,0.092534,0.295627,0.304437,0.5847,0.9927,0.5798,0.8889,7.520833333333334e-05
16,0.180843,0.107518,0.244416,0.30925,0.5939,0.9973,0.5758,0.8889,8.020833333333334e-05
17,0.160107,0.088182,0.239751,0.348927,0.649,1.0915,0.4919,0.8519,8.520833333333334e-05
18,0.180038,0.110758,0.230934,0.329889,0.6241,1.024,0.5529,0.8704,9.020833333333334e-05
19,0.125214,0.07114,0.180247,0.360154,0.7105,1.0923,0.4912,0.8333,9.520833333333333e-05
