epoch,train_loss_total,train_loss_reg,train_loss_metal,val_loss_total,val_mae,val_rmse,val_r2,val_metal_acc,lr
1,0.825604,0.617673,0.693102,0.883016,1.5813,2.0563,-0.8031,0.7963,5.208333333333334e-06
2,0.730654,0.522809,0.692816,0.682996,1.154,1.5793,-0.0636,0.7963,1.0208333333333334e-05
3,0.594539,0.386913,0.692088,0.558105,0.9212,1.1913,0.3948,0.7963,1.5208333333333333e-05
4,0.494934,0.28786,0.690247,0.507272,0.8079,1.0758,0.5064,0.7963,2.0208333333333334e-05
5,0.420025,0.214036,0.686632,0.476411,0.7529,1.0351,0.5431,0.7963,2.5208333333333334e-05
6,0.386842,0.183249,0.678645,0.449051,0.6911,0.963,0.6045,0.7963,3.0208333333333334e-05
7,0.377932,0.178902,0.663436,0.395409,0.5842,0.8817,0.6685,0.8333,3.520833333333334e-05
8,0.35246,0.160609,0.639504,0.399042,0.6324,0.891,0.6615,0.8333,4.020833333333334e-05
9,0.346778,0.165541,0.604123,0.399481,0.6612,0.8992,0.6552,0.8148,4.520833333333334e-05
10,0.307234,0.13949,0.559146,0.379739,0.6375,0.9025,0.6527,0.8519,5.020833333333333e-05
11,0.289545,0.13809,0.50485,0.382255,0.6693,0.9312,0.6302,0.8519,5.520833333333334e-05
12,0.281897,0.148481,0.444721,0.322241,0.5927,0.8393,0.6996,0.8519,6.020833333333333e-05
13,0.252196,0.134328,0.392894,0.344679,0.6239,0.9295,0.6316,0.8519,6.520833333333334e-05
14,0.223842,0.120658,0.343948,0.351269,0.6893,0.9376,0.6251,0.8889,7.020833333333334e-05
15,0.226124,0.134102,0.306741,0.291063,0.553,0.9108,0.6462,0.8889,7.520833333333334e-05
16,0.194522,0.12029,0.247442,0.361073,0.6648,1.0193,0.5569,0.8519,8.020833333333334e-05
17,0.171256,0.100778,0.234928,0.332053,0.6289,0.9532,0.6125,0.8519,8.520833333333334e-05
18,0.169876,0.108501,0.204582,0.280803,0.5544,0.8509,0.6913,0.8704,9.020833333333334e-05
19,0.142354,0.090728,0.172088,0.347456,0.6763,1.0092,0.5657,0.8889,9.520833333333333e-05
20,0.151976,0.110014,0.139872,0.32787,0.6191,0.9652,0.6027,0.8704,0.0001
21,0.167949,0.118083,0.166219,0.379475,0.7287,1.0271,0.5501,0.8704,9.999238475781957e-05
22,0.117766,0.084967,0.109332,0.395014,0.7341,1.0776,0.5048,0.8704,9.99695413509548e-05
23,0.127486,0.092249,0.117457,0.328812,0.6385,0.9616,0.6056,0.8889,9.99314767377287e-05
24,0.110825,0.082905,0.093067,0.36446,0.6841,0.9791,0.5912,0.8704,9.987820251299122e-05
25,0.119626,0.09054,0.096953,0.38478,0.7022,0.9858,0.5856,0.8519,9.980973490458728e-05
26,0.146823,0.111457,0.117888,0.304587,0.5681,0.8765,0.6724,0.8889,9.972609476841367e-05
27,0.095787,0.077034,0.062511,0.308147,0.5879,0.9247,0.6353,0.8704,9.962730758206611e-05
28,0.092191,0.071377,0.06938,0.318924,0.5689,0.8769,0.6721,0.8704,9.951340343707852e-05
29,0.098803,0.08229,0.055041,0.303581,0.5713,0.8162,0.7159,0.8889,9.938441702975689e-05
30,0.085947,0.066559,0.064628,0.311833,0.5746,0.891,0.6614,0.8889,9.924038765061042e-05
31,0.074335,0.058875,0.051533,0.334487,0.6298,0.963,0.6045,0.9074,9.908135917238321e-05
32,0.091737,0.077519,0.047395,0.372565,0.6688,0.9765,0.5933,0.8889,9.890738003669029e-05
33,0.08088,0.070822,0.033525,0.31984,0.5693,0.8689,0.678,0.8704,9.871850323926177e-05
34,0.095763,0.081224,0.048462,0.371957,0.6419,0.9251,0.635,0.8704,9.851478631379982e-05
35,0.093608,0.083781,0.032757,0.391539,0.6738,0.977,0.5929,0.8704,9.829629131445342e-05
36,0.0783,0.072195,0.020349,0.378439,0.6305,0.9066,0.6495,0.8889,9.806308479691595e-05
37,0.082523,0.063496,0.063422,0.343729,0.6287,0.9439,0.6201,0.8889,9.781523779815179e-05
38,0.086311,0.073357,0.043179,0.281654,0.5084,0.7174,0.7805,0.8889,9.755282581475769e-05
39,0.088344,0.070798,0.058488,0.30346,0.5819,0.8183,0.7145,0.9074,9.727592877996585e-05
40,0.069618,0.056952,0.042221,0.246598,0.4397,0.7182,0.78,0.9074,9.698463103929542e-05
41,0.07059,0.063951,0.022129,0.321104,0.609,0.86,0.6846,0.9074,9.667902132486009e-05
42,0.066251,0.05738,0.029571,0.288262,0.5166,0.7612,0.7529,0.8704,9.635919272833938e-05
43,0.057287,0.053081,0.014022,0.259219,0.4587,0.707,0.7868,0.8889,9.602524267262203e-05
44,0.055004,0.047327,0.025591,0.284616,0.5107,0.7899,0.7339,0.8889,9.567727288213005e-05
45,0.053483,0.050904,0.008597,0.305978,0.533,0.7793,0.741,0.8889,9.53153893518325e-05
46,0.050972,0.045676,0.017652,0.330611,0.5763,0.8253,0.7095,0.8889,9.493970231495835e-05
47,0.060652,0.051453,0.030663,0.331994,0.5782,0.7996,0.7274,0.8889,9.45503262094184e-05
48,0.062604,0.057695,0.016361,0.324293,0.5849,0.7842,0.7377,0.9074,9.414737964294636e-05
49,0.058968,0.05641,0.008524,0.233119,0.4621,0.6461,0.822,0.9259,9.373098535696979e-05
50,0.076868,0.059527,0.057803,0.229782,0.4357,0.6079,0.8424,0.9074,9.330127018922194e-05
51,0.049497,0.04735,0.007154,0.238243,0.3682,0.5737,0.8597,0.9259,9.285836503510562e-05
52,0.074183,0.063909,0.034247,0.332899,0.564,0.7926,0.7321,0.8704,9.24024048078213e-05
53,0.05754,0.051194,0.021154,0.262007,0.429,0.7071,0.7868,0.8889,9.193352839727121e-05
54,0.046316,0.045274,0.003471,0.259526,0.412,0.6329,0.8292,0.8889,9.145187862775209e-05
55,0.056821,0.052038,0.015945,0.313407,0.536,0.8034,0.7248,0.9074,9.09576022144496e-05
56,0.048046,0.046853,0.003977,0.243499,0.4452,0.631,0.8302,0.9259,9.045084971874738e-05
57,0.04767,0.046411,0.004197,0.304977,0.4924,0.7011,0.7904,0.8704,8.993177550236464e-05
58,0.043529,0.042931,0.001995,0.268653,0.4348,0.6576,0.8156,0.9259,8.940053768033609e-05
59,0.046749,0.043711,0.010126,0.244599,0.3703,0.5678,0.8625,0.9259,8.885729807284856e-05
60,0.039801,0.038889,0.003039,0.28315,0.4803,0.6949,0.794,0.9259,8.83022221559489e-05
61,0.045078,0.040534,0.015146,0.300076,0.5187,0.7364,0.7688,0.9074,8.773547901113862e-05
62,0.047804,0.045778,0.006756,0.328839,0.5406,0.7679,0.7486,0.9074,8.715724127386972e-05
63,0.045761,0.039907,0.019512,0.311237,0.5413,0.7631,0.7517,0.9074,8.656768508095853e-05
64,0.039433,0.037818,0.005382,0.270026,0.5284,0.7191,0.7795,0.9259,8.596699001693255e-05
65,0.03392,0.033236,0.002282,0.248736,0.4057,0.5786,0.8572,0.9074,8.535533905932738e-05
66,0.035077,0.033802,0.004251,0.220968,0.389,0.5676,0.8626,0.9259,8.473291852294987e-05
67,0.039878,0.039419,0.001529,0.272398,0.4759,0.6643,0.8118,0.9259,8.409991800312493e-05
68,0.04516,0.04151,0.012167,0.232717,0.4775,0.6383,0.8262,0.9074,8.345653031794292e-05
69,0.041357,0.037293,0.013547,0.191661,0.3707,0.5367,0.8772,0.9074,8.280295144952536e-05
70,0.04678,0.038779,0.02667,0.229429,0.4026,0.5868,0.8532,0.9259,8.213938048432697e-05
71,0.037683,0.033658,0.013417,0.279104,0.4843,0.6537,0.8178,0.9074,8.146601955249188e-05
72,0.035807,0.03531,0.001657,0.233161,0.4446,0.6152,0.8386,0.9259,8.07830737662829e-05
73,0.03573,0.035109,0.002072,0.210971,0.3942,0.5791,0.857,0.9259,8.009075115760243e-05
