epoch,train_loss,val_mae,val_rmse,val_r2
1,3.624281,1.2138,1.4912,0.0517
2,2.708862,1.1537,1.5058,0.0331
3,2.603511,1.1168,1.4049,0.1584
4,2.44771,1.0799,1.3461,0.2273
5,2.240063,1.0315,1.276,0.3057
6,1.861844,1.0212,1.2642,0.3185
7,1.67896,0.8542,1.0414,0.5375
8,1.301278,0.8694,1.0611,0.5199
9,1.052778,0.7707,0.9884,0.5834
10,0.987511,0.7791,0.9921,0.5803
11,0.862278,0.7579,0.976,0.5937
12,0.823767,0.7448,1.0341,0.544
13,0.79717,0.6783,0.9,0.6546
14,0.672794,0.7284,0.9363,0.6261
15,0.612316,0.6529,0.9034,0.652
16,0.601657,0.6342,0.9148,0.6431
17,0.58296,0.6293,0.8753,0.6733
18,0.585952,0.7086,0.9229,0.6368
19,0.477224,0.6627,0.8926,0.6602
20,0.494956,0.6482,0.8698,0.6774
21,0.435041,0.677,0.9101,0.6468
22,0.427433,0.6748,0.9274,0.6332
23,0.395099,0.754,0.9747,0.5949
24,0.413379,0.7304,0.98,0.5904
25,0.480426,0.7679,1.0671,0.5144
26,0.36557,0.7522,0.996,0.5769
27,0.362786,0.7151,0.9713,0.5977
