epoch,train_loss,val_mae,val_rmse,val_r2
1,1.442644,0.8377,1.2278,0.3571
2,0.591669,0.6597,1.0671,0.5144
3,0.454471,0.8569,1.2474,0.3365
4,0.442652,0.7449,1.1278,0.4576
5,0.377174,0.7428,1.0925,0.491
6,0.398463,0.6453,1.0163,0.5596
7,0.28894,0.6932,1.0598,0.5211
8,0.267841,0.662,1.0364,0.5419
9,0.359788,0.6598,1.0138,0.5617
10,0.218862,0.6524,1.0209,0.5556
11,0.223964,0.6559,1.0405,0.5383
12,0.22445,0.6455,1.0252,0.5518
13,0.182603,0.6243,1.0134,0.5621
14,0.161772,0.6363,1.0295,0.548
15,0.251781,0.6392,1.0194,0.5568
16,0.181199,0.7048,1.054,0.5262
17,0.174487,0.6707,1.0278,0.5495
18,0.2392,0.7233,1.0782,0.5042
19,0.230254,0.6658,1.0137,0.5618
20,0.243272,0.6637,1.013,0.5624
21,0.222532,0.7225,1.0561,0.5243
22,0.242753,0.6006,0.9753,0.5944
23,0.199724,0.5623,0.9357,0.6266
24,0.172349,0.5759,0.9393,0.6238
25,0.139238,0.608,0.9507,0.6145
26,0.134356,0.5693,0.973,0.5962
27,0.156692,0.6137,0.9723,0.5968
28,0.152011,0.5571,0.9223,0.6373
29,0.1575,0.6464,1.0336,0.5445
30,0.12468,0.5799,0.9473,0.6173
31,0.11091,0.5668,0.9401,0.6231
32,0.123772,0.6353,1.0094,0.5655
33,0.124178,0.6352,0.9869,0.5846
34,0.12516,0.6225,0.9761,0.5937
35,0.113504,0.5782,0.9514,0.614
36,0.158207,0.6638,0.9976,0.5756
37,0.16944,0.6381,0.9681,0.6004
38,0.116601,0.6179,0.9752,0.5945
39,0.132476,0.5867,0.937,0.6256
40,0.081557,0.5358,0.9023,0.6528
41,0.118659,0.5878,0.964,0.6037
42,0.096295,0.5607,0.9251,0.6351
43,0.106805,0.5608,0.8969,0.6569
44,0.120917,0.5945,0.9488,0.6161
45,0.101305,0.572,0.895,0.6584
46,0.099128,0.6218,0.9533,0.6125
47,0.10505,0.5898,0.8897,0.6624
48,0.102702,0.652,0.9583,0.6084
49,0.102003,0.5884,0.9319,0.6297
50,0.074955,0.5877,0.9847,0.5865
51,0.10822,0.6445,1.0198,0.5565
52,0.09839,0.6166,0.9668,0.6014
53,0.099336,0.5784,0.9276,0.6331
54,0.092632,0.6112,0.9149,0.643
55,0.0751,0.6012,0.9301,0.6311
