epoch,train_loss,val_mae,val_rmse,val_r2,lr
1,3.718087,1.6557,1.9189,-0.5471,0.001
2,2.14704,1.2931,1.6374,-0.1265,0.001
3,1.547655,1.2051,1.4952,0.0607,0.001
4,1.050987,1.1676,1.4056,0.17,0.001
5,0.823953,1.1094,1.3954,0.1819,0.001
6,0.780482,1.0543,1.328,0.2591,0.001
7,0.673027,0.9224,1.1771,0.4179,0.001
8,0.609167,0.8616,1.1154,0.4772,0.001
9,0.594298,0.7152,0.9826,0.5943,0.001
10,0.530113,0.7197,1.0227,0.5606,0.001
11,0.419954,0.698,0.9857,0.5918,0.001
12,0.461475,0.6007,0.9587,0.6138,0.001
13,0.358663,0.7589,1.0635,0.5248,0.001
14,0.382193,0.6328,0.9932,0.5856,0.001
15,0.403081,0.7148,1.1097,0.4826,0.001
16,0.528951,0.7702,1.0779,0.5118,0.001
17,0.498968,0.7946,1.1526,0.4419,0.001
18,0.36428,0.626,1.0389,0.5465,0.001
19,0.331687,0.6173,1.0188,0.5639,0.001
20,0.316619,0.7104,1.0827,0.5075,0.001
21,0.241961,0.7567,1.1386,0.4553,0.001
22,0.2497,0.7113,1.1276,0.4657,0.001
23,0.345829,0.618,1.0679,0.5208,0.001
24,0.218627,0.6389,1.0503,0.5365,0.001
25,0.180111,0.6425,1.0767,0.513,0.001
26,0.177802,0.682,1.092,0.499,0.001
27,0.243492,0.6882,1.1272,0.4661,0.001
28,0.23862,0.6517,1.0438,0.5423,0.0005
29,0.193802,0.6827,1.0897,0.5011,0.0005
30,0.165506,0.6627,1.1427,0.4514,0.0005
31,0.172423,0.666,1.1079,0.4843,0.0005
32,0.199152,0.6446,1.0662,0.5224,0.0005
33,0.158452,0.6726,1.0703,0.5187,0.0005
34,0.124822,0.6603,1.09,0.5008,0.0005
35,0.110385,0.671,1.1107,0.4817,0.0005
36,0.131077,0.6817,1.1138,0.4788,0.0005
37,0.103704,0.6762,1.1554,0.4392,0.0005
38,0.105791,0.7038,1.1716,0.4233,0.0005
39,0.142046,0.7164,1.1652,0.4295,0.0005
40,0.076581,0.7416,1.1574,0.4372,0.0005
41,0.111056,0.7134,1.1977,0.3973,0.0005
42,0.11721,0.6926,1.1948,0.4002,0.0005
