epoch,train_loss,val_mae,val_rmse,val_r2
1,3.544227,1.2225,1.4918,0.0509
2,2.749652,1.1586,1.4316,0.126
3,2.580592,1.142,1.3786,0.1895
4,2.453757,1.0844,1.3257,0.2506
5,2.246315,1.0072,1.2272,0.3578
6,2.074789,1.0082,1.2078,0.3779
7,1.744497,0.9212,1.1144,0.4704
8,1.357242,0.9716,1.1681,0.4182
9,1.193585,0.8192,1.0134,0.562
10,0.9967,0.8045,1.0047,0.5695
11,0.982795,0.7578,0.9523,0.6132
12,0.824718,0.7694,0.9559,0.6103
13,0.779538,0.6964,0.9364,0.626
14,0.686252,0.7034,0.9172,0.6413
15,0.689787,0.7272,0.9395,0.6236
16,0.611521,0.6822,0.902,0.653
17,0.600213,0.6796,0.9144,0.6434
18,0.534531,0.6837,0.9043,0.6513
19,0.568119,0.735,0.9502,0.615
20,0.620965,0.7835,1.048,0.5317
21,0.524613,0.6594,0.8911,0.6614
22,0.470575,0.668,0.8836,0.6671
23,0.45674,0.6232,0.8591,0.6853
24,0.466201,0.6392,0.8876,0.664
25,0.443363,0.7145,0.9693,0.5993
26,0.427532,0.6632,0.9204,0.6388
27,0.375605,0.6982,0.9384,0.6245
28,0.378194,0.6882,0.929,0.632
29,0.389554,0.7049,0.9275,0.6331
30,0.361802,0.6874,0.9292,0.6318
31,0.339878,0.6911,0.9276,0.6331
32,0.334817,0.7162,0.9317,0.6298
33,0.35256,0.7298,0.9674,0.6009
