epoch,train_loss,val_mae,val_rmse,val_r2
1,3.561399,1.2246,1.4907,0.0524
2,2.790021,1.1463,1.4547,0.0976
3,2.655411,1.1127,1.4194,0.1409
4,2.546215,1.1022,1.3684,0.2015
5,2.453697,1.0912,1.3041,0.2748
6,2.330585,1.008,1.2417,0.3425
7,1.906285,0.935,1.1086,0.4759
8,1.504752,0.9731,1.1746,0.4116
9,1.233905,0.8606,1.0971,0.4867
10,1.071011,0.8346,1.0303,0.5474
11,0.904011,0.6855,0.8942,0.659
12,0.82845,0.6871,0.9157,0.6424
13,0.794522,0.6507,0.8577,0.6863
14,0.723533,0.6316,0.8395,0.6995
15,0.654927,0.6555,0.8531,0.6897
16,0.585417,0.6533,0.8636,0.682
17,0.540945,0.6513,0.8751,0.6734
18,0.529048,0.6434,0.8502,0.6918
19,0.552142,0.6635,0.912,0.6453
20,0.494842,0.63,0.8709,0.6766
21,0.449985,0.652,0.8993,0.6551
22,0.433748,0.6505,0.8815,0.6687
23,0.408712,0.6674,0.8798,0.6699
24,0.423436,0.6715,0.9223,0.6373
25,0.403049,0.6951,0.9521,0.6134
26,0.32325,0.6667,0.9259,0.6344
27,0.32706,0.7218,0.989,0.5829
28,0.314537,0.7039,0.9453,0.619
29,0.316215,0.6611,0.8966,0.6572
30,0.312492,0.6773,0.9097,0.6471
