iter,A,B,base_mid,pred_bg_mean,pred_bg_std,error_to_target
0,Sr,Sm,mp-753534,2.1814563274383545,0.26325101549531377,0.8185436725616455
1,La,Sb,mp-753534,2.033559226989746,0.4009400820982968,0.966440773010254
2,La,Nb,mp-1180739,2.572751784324646,0.5365525038070861,0.4272482156753541
3,Ba,Ti,mp-756147,1.1632518887519836,0.4003638352428228,1.8367481112480164
4,Ba,Ti,mp-756147,1.1632519483566284,0.400363920912803,1.8367480516433716
